day,box,mouse,ama_density,rbc_density,ter119_density,cd71_density
0,1,1,,8360000000,5105134.92,137310.525
0,1,2,,8100000000,5460840.495,157337.245
0,1,3,,8240000000,5263456.95,158716.365
0,2,1,,8220000000,4889064.22,264135.64
0,2,2,,8880000000,6679604.365,152344.965
0,2,3,,8340000000,6195560.97,160162.53
0,3,1,,8100000000,6234986.945,150244.275
0,3,2,,7740000000,5899135.975,129463.275
0,3,3,,8260000000,6232205.47,151616.165
0,4,1,,8080000000,6974739.42,167666.62
0,4,2,,7660000000,5968942.54,131290.22
0,4,3,,8420000000,7258643.99,194849.84
0,5,1,,8390000000,7094099.945,151068.555
0,5,2,,8480000000,7098207.335,136643.875
0,5,3,,8540000000,0,0
1,1,1,7933.68,8290000000,2745515.535,194180.895
1,1,2,,9600000000,3723869.115,229248.6
1,1,3,2446.365,10100000000,4212440.11,292513.425
1,2,1,2821.395,8820000000,3294229.28,405120.205
1,2,2,1587.99,8800000000,3060502.075,225800.445
1,2,3,,8510000000,2978057.74,265470.805
1,3,1,2416.755,8930000000,3726118.225,283673.72
1,3,2,1794.96,10100000000,3523680.725,229915.245
1,3,3,1549.86,8300000000,3093432.05,302459.05
1,4,1,8439.57,9740000000,3752122.555,295290.51
1,4,2,2888.925,9760000000,4473366.85,325033.9
1,4,3,4435.65,9910000000,4739315.035,354211.715
1,5,1,,9240000000,3018283.915,241320.57
1,5,2,,9290000000,3666301.56,274379.51
1,5,3,,9290000000,3571046.375,294340.24
2,1,1,19488.9,7560000000,2551936.74,150656.42
2,1,2,121.49295,8690000000,3403242.46,161838.89
2,1,3,17528.85,9360000000,3406803.135,162176.83
2,2,1,18133.8,8050000000,3170248.925,234805.475
2,2,2,9107.775,8030000000,3373924.615,139107.625
2,2,3,,8630000000,2816771.315,153275.355
2,3,1,28758.6,8930000000,3385677.845,127398.04
2,3,2,19659.3,8980000000,3612550.77,124320.635
2,3,3,11036.205,6650000000,2210862.6,132415.5
2,4,1,23500.65,8450000000,3134985.03,122603.375
2,4,2,9678.525,8550000000,2912248.895,118000.645
2,4,3,15149.85,9290000000,3814507.665,179584.455
2,5,1,,8820000000,4399555.46,134455.39
2,5,2,,8630000000,3929570.825,142454.33
2,5,3,,8430000000,4022890.86,170419.74
3,1,1,228841.5,7820000000,6400209.9,497696.845
3,1,2,1458.717,8640000000,7168392.585,317175.5
3,1,3,124388.1,8680000000,7461479.71,396265.12
3,2,1,223690.5,7810000000,6549871.125,640175.125
3,2,2,86298,8430000000,6140754.19,379551.405
3,2,3,498.372,8740000000,6766747.645,448853.48
3,3,1,157624.5,8370000000,6201983.07,276265.205
3,3,2,81187.65,8500000000,6337920.34,273576.485
3,3,3,58216.05,7080000000,4728753.385,444911.98
3,4,1,76861.2,8110000000,6090541.455,265265.725
3,4,2,55027.8,8200000000,6461570.075,275716.695
3,4,3,102804.6,8990000000,6839229.72,324288.645
3,5,1,,8880000000,6782525.105,277957.53
3,5,2,,8680000000,6264801.26,282858.785
3,5,3,,8170000000,5917369.9,351593.965
4,1,1,1534425,7520000000,3471974.8,415818.075
4,1,2,4855.605,8710000000,4513667.375,276800.585
4,1,3,800929.5,8400000000,4280845.76,272544.02
4,2,1,836572.5,7650000000,4507871.025,425655.995
4,2,2,258915,8070000000,4463731.195,361844.86
4,2,3,1133.637,9740000000,4403239.995,383451.77
4,3,1,448315.5,8320000000,4372062.97,226925.58
4,3,2,299082,8290000000,4010086.385,185292.455
4,3,3,410092.5,6960000000,3369327.42,405434.615
4,4,1,401962.5,8630000000,4106243.19,184991.725
4,4,2,220524,8570000000,4522299.195,173717.13
4,4,3,313878,7790000000,4599077.56,201414.56
4,5,1,,8630000000,5382176.99,181438.82
4,5,2,,8570000000,4995390.39,163396.115
4,5,3,,7790000000,4476166.69,222588.925
5,1,1,4528560,7600000000,4748224.795,549564.475
5,1,2,22927.05,8780000000,5883947.51,271192.55
5,1,3,1889550,8550000000,5659125.395,412567.875
5,2,1,2202615,7950000000,5684468.365,560404.545
5,2,2,1084242,8580000000,5904715.185,440774.37
5,2,3,6234.6,8880000000,6525442.905,439709.275
5,3,1,2329575,8210000000,5579122.37,243242.045
5,3,2,871810.5,8220000000,6048216.01,211879.52
5,3,3,2070855,7500000000,4692921.2,643152.645
5,4,1,2411190,8300000000,5985626.115,321453.48
5,4,2,1082187,7250000000,5779422.405,228536.1
5,4,3,1445695.5,8200000000,6175842.58,277710.975
5,5,1,,8510000000,6435721.54,218479.165
5,5,2,,8820000000,6589131.68,178274.425
5,5,3,,8350000000,6459140.29,291107.36
6,1,1,4543695,4360000000,2068935.33,206450.64
6,1,2,127040.85,7770000000,5011291.94,206963.53
6,1,3,3221835,7070000000,3170806.515,247966.765
6,2,1,3803790,5570000000,2775829.628,282931.38
6,2,2,3403470,7710000000,3965523.865,256712.89
6,2,3,36874.95,8500000000,5082972.255,231931.585
6,3,1,9209085,6420000000,3544352.568,108885.968
6,3,2,5492475,7040000000,4085690.23,141831.025
6,3,3,7922805,5700000000,2879098.128,317934.588
6,4,1,2553135,6740000000,3766411.484,171406.748
6,4,2,1309602,6320000000,3479649.7,112554.852
6,4,3,2828640,6730000000,4182049.64,167811.324
6,5,1,295.7595,8590000000,5390809.81,145360.84
6,5,2,568.1595,9370000000,5800819.16,143319.66
6,5,3,,6930000000,4439777.29,180852.005
7,1,1,2215620,2300000000,450607.417,99018.788
7,1,2,509671.5,7060000000,3817641.3,222393.66
7,1,3,3548730,3790000000,963429.228,135892.493
7,2,1,5431800,2880000000,760342.211,136805.696
7,2,2,4413465,4690000000,1899938.462,151352.968
7,2,3,327040.5,8540000000,5094331.59,277322.045
7,3,1,859099.5,4090000000,1521664.904,101189.124
7,3,2,820627.5,4120000000,1621578.7,100656.748
7,3,3,1503060,2390000000,848542.762,126695.697
7,4,1,968631,4520000000,1623203.868,113598.252
7,4,2,1951995,3870000000,1440401.94,93591.206
7,4,3,796452,4890000000,1542171.06,115744.212
7,5,1,,8570000000,5091885.115,191228.58
7,5,2,,9170000000,5580440.105,203029.705
7,5,3,,7250000000,4387598.744,265847.44
8,1,1,1490436,1560000000,206123.5955,55337.381
8,1,2,2389320,5670000000,3728752.857,245989.713
8,1,3,1656840,2540000000,350453.975,97652.449
8,2,1,491955,1620000000,184170.157,67422.7185
8,2,2,760525.5,2680000000,755824.331,138036.995
8,2,3,144508.95,7750000000,5894747.76,356756.732
8,3,1,1132041,3340000000,840128.695,133668.89
8,3,2,119435.85,3900000000,835448.597,126283.112
8,3,3,371811,2040000000,256339.752,74972.8875
8,4,1,446172,4480000000,1585381.218,202011.062
8,4,2,139490.7,4230000000,1458842.638,146452.016
8,4,3,119515.65,4180000000,1271959.804,187558.164
8,5,1,,8310000000,5760689.905,214619.14
8,5,2,,8370000000,6493004.85,256391.785
8,5,3,,7400000000,5366479.384,436199.02
9,1,2,1893600,4710000000,2066180.18,209506.326
9,1,3,296715,2520000000,223953.153,87320.265
9,2,1,53408.55,1650000000,136206.805,72566.519
9,2,2,128470.8,3080000000,594293.642,161266.95
9,2,3,1923105,6190000000,3706300.377,277342.848
9,3,1,34074,3690000000,514433.814,141884.628
9,3,2,29828.55,4160000000,955359.508,193008.53
9,3,3,111783.45,2320000000,266156.291,107177.427
9,4,1,178645.5,4290000000,1319505.902,250900.772
9,4,2,42869.7,4190000000,1347676.392,177012.904
9,4,3,47198.25,4850000000,896789.072,193697.398
9,5,1,114.1845,8550000000,6321209.78,280114.785
9,5,2,,8510000000,6535787.615,286629.5
9,5,3,,7430000000,5908350.644,605695.004
10,1,2,558496.5,3880000000,1523716.346,319434.428
10,1,3,49308.15,3920000000,549826.136,309676.556
10,2,1,7884.825,3000000000,437266.447,323510.629
10,2,2,40803.6,4340000000,1262596.588,581021.054
10,2,3,898834.5,4300000000,2027491.764,279850.5
10,3,1,7055.1,4550000000,1283551.63,636698.54
10,3,2,9286.665,5310000000,2330251.077,966545.841
10,3,3,26528.25,3610000000,614146.561,397425.123
10,4,1,150999,5250000000,2379753.87,1160636.199
10,4,2,11736.15,4830000000,1790258.96,634825.552
