"name","value","box"
"Beta",6.09,"02"
"lambdaM",1000,"02"
"lambdaE",1000,"02"
"sigmaR",0.75,"02"
"sigmaW",0.75,"02"
"sigmaN",0.75,"02"
"alphan",0.9999978034352,"02"
"sigman",0.117800209254728,"02"
"alphar",0.970027081767533,"02"
"sigmar",0.138387467150029,"02"
"alphaw",0.999999995107037,"02"
"sigmaw",9.18136532159081e-15,"02"
"sigmaRBC",0.837939463243811,"02"
"sigmaRetic",0.00445855918614865,"02"
"sigmaPd",4.0725368828509,"02"
"Beta",5.76,"03"
"lambdaM",1000,"03"
"lambdaE",1000,"03"
"sigmaR",0.75,"03"
"sigmaW",0.75,"03"
"sigmaN",0.75,"03"
"alphan",0.9999978034352,"03"
"sigman",0.117800209254728,"03"
"alphar",0.970027081767533,"03"
"sigmar",0.138387467150029,"03"
"alphaw",0.999999995107037,"03"
"sigmaw",9.18136532159081e-15,"03"
"sigmaRBC",0.837939463243811,"03"
"sigmaRetic",0.00445855918614865,"03"
"sigmaPd",4.0725368828509,"03"
"Beta",4.08,"04"
"lambdaM",1000,"04"
"lambdaE",1000,"04"
"sigmaR",0.75,"04"
"sigmaW",0.75,"04"
"sigmaN",0.75,"04"
"alphan",0.9999978034352,"04"
"sigman",0.117800209254728,"04"
"alphar",0.970027081767533,"04"
"sigmar",0.138387467150029,"04"
"alphaw",0.999999995107037,"04"
"sigmaw",9.18136532159081e-15,"04"
"sigmaRBC",0.837939463243811,"04"
"sigmaRetic",0.00445855918614865,"04"
"sigmaPd",4.0725368828509,"04"
