"name","value","box"
"Beta",6.09,"02"
"lambdaM",1000,"02"
"lambdaE",1000,"02"
"sigmaR",0.75,"02"
"sigmaW",0.75,"02"
"sigmaN",0.75,"02"
"alphan",4.33920994500188e-07,"02"
"sigman",0.0129363543101897,"02"
"alphar",0.00495281031938265,"02"
"sigmar",0.143084520918913,"02"
"alphaw",1,"02"
"sigmaw",1.73917558782099e-07,"02"
"sigmaRBC",0.0572073070071258,"02"
"sigmaRetic",3.41859729031118e-27,"02"
"sigmaPd",0.767212078738913,"02"
"Beta",5.76,"03"
"lambdaM",1000,"03"
"lambdaE",1000,"03"
"sigmaR",0.75,"03"
"sigmaW",0.75,"03"
"sigmaN",0.75,"03"
"alphan",4.33920994500188e-07,"03"
"sigman",0.0129363543101897,"03"
"alphar",0.00495281031938265,"03"
"sigmar",0.143084520918913,"03"
"alphaw",1,"03"
"sigmaw",1.73917558782099e-07,"03"
"sigmaRBC",0.0572073070071258,"03"
"sigmaRetic",3.41859729031118e-27,"03"
"sigmaPd",0.767212078738913,"03"
"Beta",4.08,"04"
"lambdaM",1000,"04"
"lambdaE",1000,"04"
"sigmaR",0.75,"04"
"sigmaW",0.75,"04"
"sigmaN",0.75,"04"
"alphan",4.33920994500188e-07,"04"
"sigman",0.0129363543101897,"04"
"alphar",0.00495281031938265,"04"
"sigmar",0.143084520918913,"04"
"alphaw",1,"04"
"sigmaw",1.73917558782099e-07,"04"
"sigmaRBC",0.0572073070071258,"04"
"sigmaRetic",3.41859729031118e-27,"04"
"sigmaPd",0.767212078738913,"04"
