"name","mouse","value","time"
"logE","GROUP",8071561.35871249,0
"logM","GROUP",1613.91054604849,0
"logN","GROUP",511655.867003229,0
"logR","GROUP",182233.791602149,0
"logW","GROUP",3476589.61636843,0
"logM","B",822.045831858513,0
"logE","B",7725815.30687715,0
"logR","B",172738.069990948,0
"logW","B",2666697.68392006,0
"logN","B",511655.867026418,0
"logM","A",1635.05198749978,0
"logE","A",10498246.4236667,0
"logR","A",191331.139332393,0
"logW","A",4416712.61648799,0
"logN","A",511655.867029817,0
"logE","GROUP",8117314.06213446,1
"logM","GROUP",6103.2177069504,1
"logN","GROUP",518626.379933298,1
"logR","GROUP",731864.935553139,1
"logW","GROUP",3478491.1605518,1
"logM","B",3347.57775358431,1
"logE","B",7402474.25820093,1
"logR","B",701849.849531861,1
"logW","B",2661513.70979069,1
"logN","B",518626.379956802,1
"logM","A",6278.94012590292,1
"logE","A",10190506.2381889,1
"logR","A",762865.851682982,1
"logW","A",4428988.53950515,1
"logN","A",518626.379960248,1
"logE","GROUP",8187093.74540711,2
"logM","GROUP",22202.5691272688,2
"logN","GROUP",528159.547481775,2
"logR","GROUP",339796.525602148,2
"logW","GROUP",3022532.1975611,2
"logM","B",13770.6681385079,2
"logE","B",7597250.41152543,2
"logR","B",328063.758265546,2
"logW","B",2308356.03665434,2
"logN","B",528159.547505712,2
"logM","A",24321.0940518524,2
"logE","A",10446309.9316647,2
"logR","A",350985.839226515,2
"logW","A",3836165.82662003,2
"logN","A",528159.547509221,2
"logE","GROUP",8016938.45811662,3
"logM","GROUP",82382.2601753049,3
"logN","GROUP",563868.58157396,3
"logR","GROUP",352017.53366178,3
"logW","GROUP",2914028.51519382,3
"logM","B",58632.7433993035,3
"logE","B",7397483.60320897,3
"logR","B",333341.079769628,3
"logW","B",2236589.57147212,3
"logN","B",563868.581599516,3
"logM","A",98710.7540362844,3
"logE","A",10267548.3980119,3
"logR","A",370736.194991448,3
"logW","A",3672813.02069133,3
"logN","A",563868.581603262,3
"logE","GROUP",7978452.58973202,4
"logM","GROUP",306959.792854244,4
"logN","GROUP",644581.574965697,4
"logR","GROUP",358211.16893402,4
"logW","GROUP",3830871.99194897,4
"logM","B",247866.897938907,4
"logE","B",7126339.1792931,4
"logR","B",325085.978175341,4
"logW","B",2978406.93077097,4
"logN","B",644581.574994912,4
"logM","A",401791.674627349,4
"logE","A",10006406.3227045,4
"logR","A",393662.407588986,4
"logW","A",4804073.02339788,4
"logN","A",644581.574999193,4
"logE","GROUP",7563476.6753208,5
"logM","GROUP",1058689.67877609,5
"logN","GROUP",772219.443604194,5
"logR","GROUP",357491.576114269,5
"logW","GROUP",8292888.26747509,5
"logM","B",914034.520278738,5
"logE","B",6600823.07551744,5
"logR","B",309122.145499646,5
"logW","B",6623428.38318331,5
"logN","B",772219.443639195,5
"logM","A",1421414.64250422,5
"logE","A",9415256.63024246,5
"logR","A",412307.28839702,5
"logW","A",10366431.0564994,5
"logN","A",772219.443644324,5
"logE","GROUP",6426972.96112266,6
"logM","GROUP",2237570.1509818,6
"logN","GROUP",866876.178837011,6
"logR","GROUP",251312.423054792,6
"logW","GROUP",12623775.4818739,6
"logM","B",1788893.60636234,6
"logE","B",5404059.74976082,6
"logR","B",214596.249761067,6
"logW","B",10534125.0451798,6
"logN","B",866876.178876304,6
"logM","A",2592533.70176939,6
"logE","A",7875712.51345315,6
"logR","A",293173.838191682,6
"logW","A",15290739.2062058,6
"logN","A",866876.17888206,6
"logE","GROUP",4518491.96376797,7
"logM","GROUP",1212253.48866887,7
"logN","GROUP",921510.337845039,7
"logR","GROUP",282965.772504698,7
"logW","GROUP",14246188.4695261,7
"logM","B",1226847.82068068,7
"logE","B",3496374.75299234,7
"logR","B",244184.224304463,7
"logW","B",12637056.7252995,7
"logN","B",921510.337886812,7
"logM","A",1870825.96866738,7
"logE","A",5359491.50217471,7
"logR","A",326761.505080708,7
"logW","A",16274849.772949,7
"logN","A",921510.337892928,7
"logE","GROUP",3596894.18659095,8
"logM","GROUP",293778.836648705,8
"logN","GROUP",1065698.43187021,8
"logR","GROUP",492605.660125514,8
"logW","GROUP",8064308.121901,8
"logM","B",169630.410873765,8
"logE","B",2106867.38946239,8
"logR","B",423856.704029179,8
"logW","B",7006805.41307565,8
"logN","B",1065698.43191853,8
"logM","A",472163.620671372,8
"logE","A",3481366.39848939,8
"logR","A",571528.596857936,8
"logW","A",9222156.82869354,8
"logN","A",1065698.43192559,8
"logE","GROUP",3389584.56745342,9
"logM","GROUP",118026.783010267,9
"logN","GROUP",1420033.45178707,9
"logR","GROUP",672401.127274499,9
"logW","GROUP",5822002.72778325,9
"logM","B",41127.8373524487,9
"logE","B",1554407.30066843,9
"logR","B",576176.14728274,9
"logW","B",4779758.99973666,9
"logN","B",1420033.45185146,9
"logM","A",214546.605550562,9
"logE","A",2771401.1187236,9
"logR","A",784231.847088477,9
"logW","A",6963016.35660732,9
"logN","A",1420033.45186087,9
"logE","GROUP",2828635.38278324,10
"logM","GROUP",79343.0381792093,10
"logN","GROUP",1787641.49649282,10
"logR","GROUP",2083594.17254248,10
"logW","GROUP",6664156.91475018,10
"logM","B",13505.8153677256,10
"logE","B",1074112.0311265,10
"logR","B",1814943.21552753,10
"logW","B",4987161.01363662,10
"logN","B",1787641.49657387,10
"logM","A",120105.944307795,10
"logE","A",2241416.35973182,10
"logR","A",2399381.81531045,10
"logW","A",8769308.31629626,10
"logN","A",1787641.49658571,10
