"name","mouse","value","time"
"logE","GROUP",8078766.42382757,0
"logM","GROUP",705.459529915975,0
"logN","GROUP",122657.964897306,0
"logR","GROUP",634767.829686077,0
"logW","GROUP",469257.679320192,0
"logM","C",403.023114143865,0
"logE","C",5786944.34265804,0
"logR","C",200951.739493718,0
"logW","C",319069.196460405,0
"logN","C",122657.964901482,0
"logM","B",428.54937872088,0
"logE","B",7897927.40849531,0
"logR","B",169866.158364673,0
"logW","B",534770.070119301,0
"logN","B",122657.964896921,0
"logM","A",568.83702305872,0
"logE","A",9548005.67717796,0
"logR","A",195188.544404974,0
"logW","A",575328.396262137,0
"logN","A",122657.964892226,0
"logE","GROUP",7933004.83481127,1
"logM","GROUP",3526.69553898711,1
"logN","GROUP",118620.076627347,1
"logR","GROUP",822852.66543874,1
"logW","GROUP",468906.377172884,1
"logM","C",2279.80787415481,1
"logE","C",5851089.01279636,1
"logR","C",811440.831653487,1
"logW","C",318826.741667963,1
"logN","C",118620.076631386,1
"logM","B",2405.57575551134,1
"logE","B",7948329.47576926,1
"logR","B",658996.855985303,1
"logW","B",534365.927851371,1
"logN","B",118620.076626976,1
"logM","A",3224.65303047946,1
"logE","A",9635079.03144581,1
"logR","A",679850.388470145,1
"logW","A",574900.261134779,1
"logN","A",118620.076622435,1
"logE","GROUP",7918716.41692206,2
"logM","GROUP",17384.1362627343,2
"logN","GROUP",121861.237018427,2
"logR","GROUP",715075.692444629,2
"logW","GROUP",793261.224861338,2
"logM","C",13044.1761252951,2
"logE","C",6511093.76947524,2
"logR","C",398269.164647956,2
"logW","C",540776.016550367,2
"logN","C",121861.237022576,2
"logM","B",13613.1954116186,2
"logE","B",8477639.88866588,2
"logR","B",309034.306673131,2
"logW","B",906332.930731637,2
"logN","B",121861.237018045,2
"logM","A",18405.5640960369,2
"logE","A",10219963.8800458,2
"logR","A",336032.500331632,2
"logW","A",974824.098287215,2
"logN","A",121861.23701338,2
"logE","GROUP",7523113.63914764,3
"logM","GROUP",83185.1876738601,3
"logN","GROUP",125099.559963685,3
"logR","GROUP",753328.528563154,3
"logW","GROUP",1651523.21655327,3
"logM","C",72460.4251853976,3
"logE","C",6740597.28169137,3
"logR","C",666051.692864174,3
"logW","C",1135745.24736804,3
"logN","C",125099.559967944,3
"logM","B",73642.4398092145,3
"logE","B",8641467.13474647,3
"logR","B",366897.696101185,3
"logW","B",1889694.54594094,3
"logN","B",125099.559963294,3
"logM","A",100799.794406574,3
"logE","A",10459450.2862561,3
"logR","A",372851.567644656,3
"logW","A",2030007.58972824,3
"logN","A",125099.559958504,3
"logE","GROUP",7419639.72480698,4
"logM","GROUP",381697.092996089,4
"logN","GROUP",128532.813479816,4
"logR","GROUP",774726.252363837,4
"logW","GROUP",2457892.77660241,4
"logM","C",372909.372759207,4
"logE","C",7166010.73448281,4
"logR","C",837362.282151446,4
"logW","C",1733693.69909979,4
"logN","C",128532.813484192,4
"logM","B",356574.690258077,4
"logE","B",8807790.43344811,4
"logR","B",383049.339328145,4
"logW","B",2801534.99216578,4
"logN","B",128532.813479415,4
"logM","A",498111.625536436,4
"logE","A",10686116.5120134,4
"logR","A",431864.458873129,4
"logW","A",2973689.42080373,4
"logN","A",128532.813474494,4
"logE","GROUP",7314265.35614425,5
"logM","GROUP",1583259.59086356,5
"logN","GROUP",140302.08242453,5
"logR","GROUP",761784.99169949,5
"logW","GROUP",3658462.94797204,5
"logM","C",1768057.12572006,5
"logE","C",7465126.19355925,5
"logR","C",1027620.3499981,5
"logW","C",2698156.52657055,5
"logN","C",140302.082429305,5
"logM","B",1548198.00170074,5
"logE","B",8722104.45173962,5
"logR","B",287962.592066435,5
"logW","B",4149785.95229895,5
"logN","B",140302.082424092,5
"logM","A",2234726.84336139,5
"logE","A",10620864.802824,5
"logR","A",357971.907061698,5
"logW","A",4277955.74157897,5
"logN","A",140302.082418719,5
"logE","GROUP",6106748.35081367,6
"logM","GROUP",4182490.44606028,6
"logN","GROUP",170665.194038672,6
"logR","GROUP",702969.219020718,6
"logW","GROUP",24241960.1620628,6
"logM","C",6974973.68325202,6
"logE","C",6738631.34785737,6
"logR","C",629351.99482457,6
"logW","C",18914097.4123625,6
"logN","C",170665.19404448,6
"logM","B",5402914.94908674,6
"logE","B",7466017.28562606,6
"logR","B",244386.686821752,6
"logW","B",28188687.0478455,6
"logN","B",170665.194038141,6
"logM","A",8207639.03578784,6
"logE","A",8951660.72113191,6
"logR","A",197243.415479158,6
"logW","A",26851697.5820246,6
"logN","A",170665.194031604,6
"logE","GROUP",3298269.75016476,7
"logM","GROUP",1080617.90628657,7
"logN","GROUP",217221.17467725,7
"logR","GROUP",694385.264399307,7
"logW","GROUP",9887140.27435504,7
"logM","C",2055322.29709719,7
"logE","C",2792031.81787899,7
"logR","C",356849.869283939,7
"logW","C",7503735.61926437,7
"logN","C",217221.174684642,7
"logM","B",598225.432558718,7
"logE","B",3734704.08327636,7
"logR","B",255736.533196024,7
"logW","B",12262895.1150303,7
"logN","B",217221.174676575,7
"logM","A",1721057.90917244,7
"logE","A",3686823.28541235,7
"logR","A",272013.144966573,7
"logW","A",10421244.7999197,7
"logN","A",217221.174668255,7
"logE","GROUP",2490467.54019452,8
"logM","GROUP",321687.808835642,8
"logN","GROUP",379817.383334895,8
"logR","GROUP",792105.350351944,8
"logW","GROUP",10693041.5265817,8
"logM","C",791076.977851555,8
"logE","C",1533519.78410267,8
"logR","C",596765.609622745,8
"logW","C",7657172.13427824,8
"logN","C",379817.383347816,8
"logM","B",147955.728783054,8
"logE","B",3264406.98827866,8
"logR","B",589589.851540394,8
"logW","B",12713554.7460531,8
"logN","B",379817.383333715,8
"logM","A",580657.777209734,8
"logE","A",2422442.96384747,8
"logR","A",531370.054589675,8
"logW","A",12474544.8891883,8
"logN","A",379817.383319166,8
"logE","GROUP",2429604.14789856,9
"logM","GROUP",57953.4853129669,9
"logN","GROUP",1129437.27080677,9
"logR","GROUP",870926.688528022,9
"logW","GROUP",8429485.21114887,9
"logM","C",92750.491984136,9
"logE","C",1225063.10216575,9
"logR","C",933650.025022105,9
"logW","C",6584979.23424159,9
"logN","C",1129437.27084519,9
"logM","B",29570.5577430354,9
"logE","B",3375958.84300511,9
"logR","B",840655.398823427,9
"logW","B",9456459.1400337,9
"logN","B",1129437.27080327,9
"logM","A",41278.9414178137,9
"logE","A",2142312.52734331,9
"logR","A",1018165.6685652,9
"logW","A",9521501.32978504,9
"logN","A",1129437.27076,9
"logE","GROUP",2222702.63932047,10
"logM","GROUP",15006.4277234653,10
"logN","GROUP",3298447.14935993,10
"logR","GROUP",1036372.95025658,10
"logW","GROUP",5082025.10220995,10
"logM","C",15518.1910596682,10
"logE","C",1218680.20036593,10
"logR","C",2330407.40223808,10
"logW","C",4433795.46326978,10
"logN","C",3298447.14947209,10
"logM","B",14570.9340826544,10
"logE","B",3220080.01242902,10
"logR","B",2204279.24341963,10
"logW","B",5307797.62084052,10
"logN","B",3298447.1493497,10
"logM","A",8586.17088585814,10
"logE","A",2191004.00322986,10
"logR","A",2259145.15579549,10
"logW","A",5481093.10430068,10
"logN","A",3298447.14922337,10
"logE","GROUP",2313466.87383115,11
"logM","GROUP",13871.1034223075,11
"logN","GROUP",4678421.43472809,11
"logR","GROUP",1127410.20403845,11
"logW","GROUP",2863351.22926188,11
"logM","C",10627.9573558824,11
"logE","C",1390044.43570017,11
"logR","C",3565470.64480833,11
"logW","C",2558715.10121378,11
"logN","C",4678421.43488715,11
"logM","B",18199.0693086934,11
"logE","B",2951030.67607794,11
"logR","B",3507187.31390102,11
"logW","B",2947093.19306989,11
"logN","B",4678421.43471359,11
"logM","A",7274.92508291411,11
"logE","A",2122919.83415514,11
"logR","A",3396141.55710431,11
"logW","A",3034571.29960145,11
"logN","A",4678421.43453443,11
"logE","GROUP",1989302.04841342,12
"logM","GROUP",15582.7900822343,12
"logN","GROUP",3642879.26025961,12
"logR","GROUP",1091195.40627166,12
"logW","GROUP",9222627.52153132,12
"logM","C",14942.8793868907,12
"logE","C",1916839.9479472,12
"logR","C",2501224.02345958,12
"logW","C",8139462.46952999,12
"logN","C",3642879.26038343,12
"logM","B",34182.5555793093,12
"logE","B",3116366.54811132,12
"logR","B",2891726.24350541,12
"logW","B",9763288.06335303,12
"logN","B",3642879.26024832,12
"logM","A",10968.3081735846,12
"logE","A",2367005.92438793,12
"logR","A",3567111.34473996,12
"logW","A",9783500.87432246,12
"logN","A",3642879.26010885,12
"logE","GROUP",2565691.74281036,13
"logM","GROUP",16057.0710104677,13
"logN","GROUP",1526995.82775183,13
"logR","GROUP",997547.067662108,13
"logW","GROUP",5867232.91901184,13
"logM","C",6293.10187700333,13
"logE","C",1932369.66078398,13
"logR","C",1470629.83235413,13
"logW","C",4697915.91521185,13
"logN","C",1526995.82780373,13
"logM","B",22384.1297099638,13
"logE","B",3235783.10322313,13
"logR","B",1969031.79762109,13
"logW","B",7122971.4433178,13
"logN","B",1526995.8277471,13
"logM","A",6933.58787646336,13
"logE","A",3225306.26224962,13
"logR","A",2243469.41925816,13
"logW","A",5943595.74567762,13
"logN","A",1526995.82768865,13
"logE","GROUP",3944356.93975179,14
"logM","GROUP",14832.5128728177,14
"logN","GROUP",1873272.67897086,14
"logR","GROUP",1044770.10707654,14
"logW","GROUP",11248708.191199,14
"logM","C",6159.19837948528,14
"logE","C",2169683.06777479,14
"logR","C",2445136.90835185,14
"logW","C",8543231.06998949,14
"logN","C",1873272.67903451,14
"logM","B",25822.0286607294,14
"logE","B",3831267.79539635,14
"logR","B",2361514.55487612,14
"logW","B",15762886.8040097,14
"logN","B",1873272.67896505,14
"logM","A",10743.7551962996,14
"logE","A",4173783.42919619,14
"logR","A",2319782.03849955,14
"logW","A",10504681.072316,14
"logN","A",1873272.67889337,14
"logE","GROUP",3727822.38111601,15
"logM","GROUP",7441.94637474449,15
"logN","GROUP",1637266.27089794,15
"logR","GROUP",1000382.26541895,15
"logW","GROUP",13527703.1919236,15
"logM","C",3930.61627566357,15
"logE","C",3060186.97649957,15
"logR","C",2233906.97312445,15
"logW","C",10361419.4273708,15
"logN","C",1637266.27095356,15
"logM","B",9084.13092130555,15
"logE","B",4518120.48320027,15
"logR","B",1811832.6764988,15
"logW","B",20675376.8980559,15
"logN","B",1637266.27089286,15
"logM","A",9713.5253717405,15
"logE","A",4916609.80913964,15
"logR","A",1714274.97650838,15
"logW","A",11515121.6513343,15
"logN","A",1637266.27083023,15
"logE","GROUP",4160358.28387283,16
"logM","GROUP",4145.84013762512,16
"logN","GROUP",1332940.43044943,16
"logR","GROUP",971064.106814086,16
"logW","GROUP",13677746.1566633,16
"logM","C",2486.53660527563,16
"logE","C",3854694.6275018,16
"logR","C",2594971.16527812,16
"logW","C",11334245.0101935,16
"logN","C",1332940.4304947,16
"logM","B",1626.53058188515,16
"logE","B",4855066.67993423,16
"logR","B",1260830.81408737,16
"logW","B",21544535.9411624,16
"logN","B",1332940.43044529,16
"logM","A",8128.33387496685,16
"logE","A",5241361.14188242,16
"logR","A",1347298.35960032,16
"logW","A",10443436.9848991,16
"logN","A",1332940.43039432,16
"logE","GROUP",4525748.03380139,17
"logM","GROUP",3835.81547356766,17
"logN","GROUP",1315753.92429282,17
"logR","GROUP",989358.315219634,17
"logW","GROUP",16908765.7915538,17
"logM","C",2127.37546023435,17
