"name","mouse","value","time","box"
"logE","GROUP",8236693.31327794,0,"02"
"logM","GROUP",726.274748583445,0,"02"
"logN","GROUP",106905.961328863,0,"02"
"logR","GROUP",307014.11607059,0,"02"
"logW","GROUP",360171.343788358,0,"02"
"logM","B",353.010525586165,0,"02"
"logE","B",9924508.24912288,0,"02"
"logR","B",203538.352522558,0,"02"
"logW","B",360171.343965263,0,"02"
"logN","B",122248.451379092,0,"02"
"logM","A",597.616004240718,0,"02"
"logE","A",8691239.60312128,0,"02"
"logR","A",442388.56147201,0,"02"
"logW","A",360171.343785372,0,"02"
"logN","A",86414.4103898986,0,"02"
"logE","GROUP",7914835.6240871,1,"02"
"logM","GROUP",3678.01581412396,1,"02"
"logN","GROUP",107420.84197776,1,"02"
"logR","GROUP",844167.462832078,1,"02"
"logW","GROUP",360180.06796398,1,"02"
"logM","B",2049.79757189309,1,"02"
"logE","B",10008350.1808474,1,"02"
"logR","B",645206.67166767,1,"02"
"logW","B",360180.068140889,1,"02"
"logN","B",122848.68067491,1,"02"
"logM","A",3465.69704289475,1,"02"
"logE","A",9048604.87115827,1,"02"
"logR","A",1089547.6503288,1,"02"
"logW","A",360180.067960995,1,"02"
"logN","A",86835.1709194853,1,"02"
"logE","GROUP",7608513.69331822,2,"02"
"logM","GROUP",17610.7682678875,2,"02"
"logN","GROUP",120597.137579821,2,"02"
"logR","GROUP",452041.304732324,2,"02"
"logW","GROUP",513032.526261782,2,"02"
"logM","B",11989.0008707752,2,"02"
"logE","B",10532728.9319471,2,"02"
"logR","B",332738.966872242,2,"02"
"logW","B",513032.526513764,2,"02"
"logN","B",138224.678548918,2,"02"
"logM","A",20274.3155501741,2,"02"
"logE","A",10050729.8132683,2,"02"
"logR","A",593906.025072617,2,"02"
"logW","A",513032.526257531,2,"02"
"logN","A",97615.0859321965,2,"02"
"logE","GROUP",7442405.92668979,3,"02"
"logM","GROUP",85624.5870556557,3,"02"
"logN","GROUP",168820.334962811,3,"02"
"logR","GROUP",637734.533654264,3,"02"
"logW","GROUP",1786298.95816415,3,"02"
"logM","B",69449.6261883341,3,"02"
"logE","B",10718428.6988687,3,"02"
"logR","B",521596.59711254,3,"02"
"logW","B",1786298.9590415,3,"02"
"logN","B",194837.300665468,3,"02"
"logM","A",117205.493546114,3,"02"
"logE","A",10531198.1682313,3,"02"
"logR","A",762348.390832156,3,"02"
"logW","A",1786298.95814936,3,"02"
"logN","A",137114.27382263,3,"02"
"logE","GROUP",7242885.05705477,4,"02"
"logM","GROUP",394807.761450256,4,"02"
"logN","GROUP",248418.29795558,4,"02"
"logR","GROUP",694310.954248982,4,"02"
"logW","GROUP",5796502.82083875,4,"02"
"logM","B",355683.110617807,4,"02"
"logE","B",10974271.1888339,4,"02"
"logR","B",650113.50222055,4,"02"
"logW","B",5796502.82368569,4,"02"
"logN","B",289679.071537595,4,"02"
"logM","A",594975.443854012,4,"02"
"logE","A",11064630.3883015,4,"02"
"logR","A",726925.889770931,4,"02"
"logW","A",5796502.8207908,4,"02"
"logN","A",202066.752354848,4,"02"
"logE","GROUP",7486490.01217804,5,"02"
"logM","GROUP",1684340.73742284,5,"02"
"logN","GROUP",400398.88795885,5,"02"
"logR","GROUP",715261.904358317,5,"02"
"logW","GROUP",9245195.91770417,5,"02"
"logM","B",1279050.11831412,5,"02"
"logE","B",10932080.2286417,5,"02"
"logR","B",641713.631247589,5,"02"
"logW","B",9245195.92224484,5,"02"
"logN","B",474244.787251423,5,"02"
"logM","A",2096147.10812187,5,"02"
"logE","A",11123591.5763031,5,"02"
"logR","A",782274.219369292,5,"02"
"logW","A",9245195.91762777,5,"02"
"logN","A",325371.121503232,5,"02"
"logE","GROUP",6110330.54172286,6,"02"
"logM","GROUP",4104020.18967024,6,"02"
"logN","GROUP",688657.260852358,6,"02"
"logR","GROUP",539937.244442445,6,"02"
"logW","GROUP",11377230.4608858,6,"02"
"logM","B",3226389.97485556,6,"02"
"logE","B",9798135.19832684,6,"02"
"logR","B",496596.302038787,6,"02"
"logW","B",11377230.4664734,6,"02"
"logN","B",826229.21309944,6,"02"
"logM","A",5167346.59401887,6,"02"
"logE","A",9899259.3802859,6,"02"
"logR","A",570901.135540407,6,"02"
"logW","A",11377230.4607919,6,"02"
"logN","A",561715.979732461,6,"02"
"logE","GROUP",3345916.7461748,7,"02"
"logM","GROUP",2902309.07155914,7,"02"
"logN","GROUP",952574.354053201,7,"02"
"logR","GROUP",447788.55485505,7,"02"
"logW","GROUP",24171009.3752081,7,"02"
"logM","B",5182404.03212517,7,"02"
"logE","B",6831067.98201228,7,"02"
"logR","B",375261.384829353,7,"02"
"logW","B",24171009.3870787,7,"02"
"logN","B",1122276.37780739,7,"02"
"logM","A",7902397.01106147,7,"02"
"logE","A",6168402.2402994,7,"02"
"logR","A",516527.223162047,7,"02"
"logW","A",24171009.3750088,7,"02"
"logN","A",799142.864464863,7,"02"
"logE","GROUP",1616458.63037873,8,"02"
"logM","GROUP",484961.75587158,8,"02"
"logN","GROUP",944271.684297024,8,"02"
"logR","GROUP",546688.434808585,8,"02"
"logW","GROUP",9741262.85084558,8,"02"
"logM","B",671728.935268908,8,"02"
"logE","B",2987176.89418154,8,"02"
"logR","B",489122.220938474,8,"02"
"logW","B",9741262.85562951,8,"02"
"logN","B",1048839.32019512,8,"02"
"logM","A",674561.367020467,8,"02"
"logE","A",1829974.02270663,8,"02"
"logR","A",594404.766190581,8,"02"
"logW","A",9741262.8507654,8,"02"
"logN","A",840021.870658907,8,"02"
"logE","GROUP",1493749.61404361,9,"02"
"logM","GROUP",86920.9620153428,9,"02"
"logN","GROUP",1074493.81581278,9,"02"
"logR","GROUP",862723.986845492,9,"02"
"logW","GROUP",7368519.73912277,9,"02"
"logM","B",166089.341914377,9,"02"
"logE","B",2132493.79586521,9,"02"
"logR","B",835995.584331003,9,"02"
"logW","B",7368519.74274135,9,"02"
"logN","B",1139956.35280832,9,"02"
"logM","A",45782.7224916084,9,"02"
"logE","A",1292365.11925071,9,"02"
"logR","A",878695.9244133,9,"02"
"logW","A",7368519.73906218,9,"02"
"logN","A",1004710.69461043,9,"02"
"logE","GROUP",1560106.15654331,10,"02"
"logM","GROUP",24464.1041940302,10,"02"
"logN","GROUP",1304027.36576324,10,"02"
"logR","GROUP",2086755.21646328,10,"02"
"logW","GROUP",8862552.10519303,10,"02"
"logM","B",55969.7122225067,10,"02"
"logE","B",1924571.59274121,10,"02"
"logR","B",2020408.46046965,10,"02"
"logW","B",8862552.10954523,10,"02"
"logN","B",1437628.41095578,10,"02"
"logM","A",5833.33544553615,10,"02"
"logE","A",1330952.73346669,10,"02"
"logR","A",2187627.28733006,10,"02"
"logW","A",8862552.10512025,10,"02"
"logN","A",1180379.90568969,10,"02"
"logE","GROUP",1566213.60437127,11,"02"
"logM","GROUP",24297.807439279,11,"02"
"logN","GROUP",2084663.83290585,11,"02"
"logR","GROUP",3552414.72053629,11,"02"
"logW","GROUP",2885805.60339291,11,"02"
"logM","B",25009.0918923594,11,"02"
"logE","B",2698087.70494504,11,"02"
"logR","B",3734813.82096832,11,"02"
"logW","B",2885805.60481003,11,"02"
"logN","B",2527956.34652389,11,"02"
"logM","A",2032.95418400305,11,"02"
"logE","A",2515312.20029031,11,"02"
