"name","mouse","value","time","box"
"logE","GROUP",0,0,"02"
"logM","GROUP",Inf,0,"02"
"logN","GROUP",791991.612721475,0,"02"
"logR","GROUP",614394.141894309,0,"02"
"logW","GROUP",739120.94238652,0,"02"
"logM","B",734.675251034764,0,"02"
"logE","B",8686832.06711532,0,"02"
"logR","B",202559.715185943,0,"02"
"logW","B",973764.331337434,0,"02"
"logN","B",757817.064779221,0,"02"
"logM","A",517.10798194488,0,"02"
"logE","A",7827697.93703532,0,"02"
"logR","A",444038.09530337,0,"02"
"logW","A",571340.594171079,0,"02"
"logN","A",814659.753235044,0,"02"
"logE","GROUP",Inf,1,"02"
"logM","GROUP",0,1,"02"
"logN","GROUP",1569397.53691472,1,"02"
"logR","GROUP",638840.774964055,1,"02"
"logW","GROUP",750230.043843917,1,"02"
"logM","B",3682.63968608884,1,"02"
"logE","B",8203240.82681392,1,"02"
"logR","B",649221.764167197,1,"02"
"logW","B",988400.159042262,1,"02"
"logN","B",1443372.67244204,1,"02"
"logM","A",2663.30169370337,1,"02"
"logE","A",7716098.18788222,1,"02"
"logR","A",1085555.63921755,1,"02"
"logW","A",579927.931182394,1,"02"
"logN","A",1688726.30061505,1,"02"
"logE","GROUP",Inf,2,"02"
"logM","GROUP",0,2,"02"
"logN","GROUP",770914.901184111,2,"02"
"logR","GROUP",651961.318051533,2,"02"
"logW","GROUP",1009269.49162764,2,"02"
"logM","B",17044.6338928038,2,"02"
"logE","B",7749473.83165898,2,"02"
"logR","B",331161.754261732,2,"02"
"logW","B",1329674.99000911,2,"02"
"logN","B",682849.371118484,2,"02"
"logM","A",12533.6460095434,2,"02"
"logE","A",7402487.86288109,2,"02"
"logR","A",596409.115568026,2,"02"
"logW","A",780165.461366544,2,"02"
"logN","A",856871.354520441,2,"02"
"logE","GROUP",Inf,3,"02"
"logM","GROUP",Inf,3,"02"
"logN","GROUP",863506.017386056,3,"02"
"logR","GROUP",673446.148152172,3,"02"
"logW","GROUP",1858455.64334904,3,"02"
"logM","B",80909.5565707122,3,"02"
"logE","B",7851626.82801639,3,"02"
"logR","B",521461.999542631,3,"02"
"logW","B",2448446.13803747,3,"02"
"logN","B",756232.599026362,3,"02"
"logM","A",62141.7153559235,3,"02"
"logE","A",7100687.65037313,3,"02"
"logR","A",763177.436552716,3,"02"
"logW","A",1436586.47810404,3,"02"
"logN","A",971896.178369871,3,"02"
"logE","GROUP",Inf,4,"02"
"logM","GROUP",0,4,"02"
"logN","GROUP",320404.592926772,4,"02"
"logR","GROUP",704535.145361544,4,"02"
"logW","GROUP",3096159.6122918,4,"02"
"logM","B",346850.718720722,4,"02"
"logE","B",7669149.83260198,4,"02"
"logR","B",654293.833545593,4,"02"
"logW","B",4079075.04946608,4,"02"
"logN","B",258590.433668612,4,"02"
"logM","A",277448.800371158,4,"02"
"logE","A",7037971.85334932,4,"02"
"logR","A",722711.825454051,4,"02"
"logW","A",2393331.82316351,4,"02"
"logN","A",388344.068449988,4,"02"
"logE","GROUP",Inf,5,"02"
"logM","GROUP",Inf,5,"02"
"logN","GROUP",1988829.903727,5,"02"
"logR","GROUP",743260.361276867,5,"02"
"logW","GROUP",4265345.37051363,5,"02"
"logM","B",1396862.51834041,5,"02"
"logE","B",8480929.81509649,5,"02"
"logR","B",641362.273295063,5,"02"
"logW","B",5619433.76856451,5,"02"
"logN","B",1405080.9277992,5,"02"
"logM","A",1266790.52503568,5,"02"
"logE","A",7536327.48372077,5,"02"
"logR","A",784682.865552655,5,"02"
"logW","A",3297112.58152903,5,"02"
"logN","A",2793746.71620623,5,"02"
"logE","GROUP",0,6,"02"
"logM","GROUP",0,6,"02"
"logN","GROUP",1565171.93286277,6,"02"
"logR","GROUP",787631.102362715,6,"02"
"logW","GROUP",12117169.675407,6,"02"
"logM","B",4346941.0663411,6,"02"
"logE","B",8169890.84213653,6,"02"
"logR","B",500376.474077845,6,"02"
"logW","B",15963920.0435633,6,"02"
"logN","B",1218485.94826613,6,"02"
"logM","A",3933084.24220166,6,"02"
"logE","A",5777133.99234503,6,"02"
"logR","A",569112.88442857,6,"02"
"logW","A",9366573.8924909,6,"02"
"logN","A",1990416.87253946,6,"02"
"logE","GROUP",0,7,"02"
"logM","GROUP",0,7,"02"
"logN","GROUP",299392.507212646,7,"02"
"logR","GROUP",856915.029397937,7,"02"
"logW","GROUP",16526413.085131,7,"02"
"logM","B",3735569.0456498,7,"02"
"logE","B",5194874.88371618,7,"02"
"logR","B",374295.667547107,7,"02"
"logW","B",21772934.1225982,7,"02"
"logN","B",246884.921494835,7,"02"
"logM","A",3669441.41488076,7,"02"
"logE","A",3004051.8701699,7,"02"
"logR","A",521548.22919382,7,"02"
"logW","A",12774919.6792805,7,"02"
"logN","A",354805.70720614,7,"02"
"logE","GROUP",Inf,8,"02"
"logM","GROUP",0,8,"02"
"logN","GROUP",682919.662607169,8,"02"
"logR","GROUP",966424.448351243,8,"02"
"logW","GROUP",8163618.05662533,8,"02"
"logM","B",400760.339769525,8,"02"
"logE","B",2746258.10343302,8,"02"
"logR","B",489655.38676815,8,"02"
"logW","B",10755262.9376248,8,"02"
"logN","B",516773.926191704,8,"02"
"logM","A",422401.205866891,8,"02"
"logE","A",1275624.0532297,8,"02"
"logR","A",600150.339481217,8,"02"
"logW","A",6310477.92586546,8,"02"
"logN","A",889032.635574445,8,"02"
"logE","GROUP",Inf,9,"02"
"logM","GROUP",0,9,"02"
"logN","GROUP",1151606.02267364,9,"02"
"logR","GROUP",1144081.55291598,9,"02"
"logW","GROUP",7217069.06471335,9,"02"
"logM","B",88789.2058709983,9,"02"
"logE","B",2702843.29190019,9,"02"
"logR","B",841162.528297591,9,"02"
"logW","B",9508219.87154349,9,"02"
"logN","B",969932.085813521,9,"02"
"logM","A",64623.4262316179,9,"02"
"logE","A",864840.93151139,9,"02"
"logR","A",865715.781247542,9,"02"
"logW","A",5578795.41965985,9,"02"
"logN","A",1353902.17307727,9,"02"
"logE","GROUP",0,10,"02"
