"name","mouse","value","time","box"
"logE","GROUP",8295407.63648734,0,"01"
"logM","GROUP",75.6723533120745,0,"01"
"logN","GROUP",103998.201062959,0,"01"
"logR","GROUP",228412.977103539,0,"01"
"logW","GROUP",2757434.21700337,0,"01"
"logM","A",1680.56645343189,0,"01"
"logE","A",8531420.7844605,0,"01"
"logR","A",224635.596718341,0,"01"
"logW","A",3391939.18662482,0,"01"
"logN","A",103998.20106757,0,"01"
"logM","C",478.851238056681,0,"01"
"logE","C",8090112.19961344,0,"01"
"logR","C",248833.681418134,0,"01"
"logW","C",310535.749654069,0,"01"
"logN","C",103998.20106119,0,"01"
"logE","GROUP",8262171.34583328,1,"01"
"logM","GROUP",4550.64469361559,1,"01"
"logN","GROUP",104156.721859014,1,"01"
"logR","GROUP",619323.690688638,1,"01"
"logW","GROUP",2756237.96777763,1,"01"
"logM","A",7338.36581150626,1,"01"
"logE","A",8652024.14219888,1,"01"
"logR","A",588272.920546827,1,"01"
"logW","A",3391312.90207695,1,"01"
"logN","A",104156.721863632,1,"01"
"logM","C",2966.05205266783,1,"01"
"logE","C",8235358.77688969,1,"01"
"logR","C",698576.578661298,1,"01"
"logW","C",310025.688038711,1,"01"
"logN","C",104156.721857242,1,"01"
"logE","GROUP",8087390.70006511,2,"01"
"logM","GROUP",16383.8211889762,2,"01"
"logN","GROUP",106562.233542807,2,"01"
"logR","GROUP",435056.355335776,2,"01"
"logW","GROUP",2078373.56009053,2,"01"
"logM","A",32683.9596462684,2,"01"
"logE","A",9136124.45602169,2,"01"
"logR","A",446984.450910481,2,"01"
"logW","A",618628.640796816,2,"01"
"logN","A",106562.233547532,2,"01"
"logM","C",18471.427875406,2,"01"
"logE","C",8824135.3708701,2,"01"
"logR","C",445017.194959864,2,"01"
"logW","C",324506.317663068,2,"01"
"logN","C",106562.233540995,2,"01"
"logE","GROUP",8070362.40214359,3,"01"
"logM","GROUP",183450.970042488,3,"01"
"logN","GROUP",120830.736372269,3,"01"
"logR","GROUP",518657.126960121,3,"01"
"logW","GROUP",2503904.34825874,3,"01"
"logM","A",197907.786282663,3,"01"
"logE","A",9454124.60504012,3,"01"
"logR","A",607700.740797983,3,"01"
"logW","A",726354.742011462,3,"01"
"logN","A",120830.736377626,3,"01"
"logM","C",114987.931888209,3,"01"
"logE","C",9139988.71617591,3,"01"
"logR","C",461313.301688475,3,"01"
"logW","C",827342.456173925,3,"01"
"logN","C",120830.736370214,3,"01"
"logE","GROUP",7390140.57118521,4,"01"
"logM","GROUP",1340477.34443275,4,"01"
"logN","GROUP",148524.693344107,4,"01"
"logR","GROUP",681525.106775957,4,"01"
"logW","GROUP",4693768.82500176,4,"01"
"logM","A",1176616.32100382,4,"01"
"logE","A",9760949.62357324,4,"01"
"logR","A",895080.006687927,4,"01"
"logW","A",3712600.10797315,4,"01"
"logN","A",148524.693350691,4,"01"
"logM","C",675360.177369792,4,"01"
"logE","C",9363684.84532554,4,"01"
"logR","C",538081.367903066,4,"01"
"logW","C",6488574.28020772,4,"01"
"logN","C",148524.693341581,4,"01"
"logE","GROUP",6727550.95260367,5,"01"
"logM","GROUP",5256119.03028946,5,"01"
"logN","GROUP",187146.542488588,5,"01"
"logR","GROUP",729609.829562742,5,"01"
"logW","GROUP",6534265.81427436,5,"01"
"logM","A",5047988.22981706,5,"01"
"logE","A",9427660.25268221,5,"01"
"logR","A",874682.474780546,5,"01"
"logW","A",15208606.5947402,5,"01"
"logN","A",187146.542496883,5,"01"
"logM","C",2173187.04421263,5,"01"
"logE","C",9112201.88943671,5,"01"
"logR","C",626767.357484375,5,"01"
"logW","C",11076711.157365,5,"01"
"logN","C",187146.542485404,5,"01"
"logE","GROUP",4465481.57512244,6,"01"
"logM","GROUP",36202029.9169334,6,"01"
"logN","GROUP",246145.471261869,6,"01"
"logR","GROUP",486617.251545995,6,"01"
"logW","GROUP",6424466.85308616,6,"01"
"logM","A",5828396.99003273,6,"01"
"logE","A",6209583.56547418,6,"01"
"logR","A",439596.098556378,6,"01"
"logW","A",13402600.8606381,6,"01"
"logN","A",246145.471272779,6,"01"
"logM","C",3988544.23266356,6,"01"
"logE","C",7646111.07926308,6,"01"
"logR","C",547367.328264451,6,"01"
"logW","C",11404813.6447315,6,"01"
"logN","C",246145.471257682,6,"01"
"logE","GROUP",2629640.00524827,7,"01"
"logM","GROUP",5704105.46470798,7,"01"
"logN","GROUP",347509.616121801,7,"01"
"logR","GROUP",516978.946639075,7,"01"
"logW","GROUP",5130782.10519613,7,"01"
"logM","A",3243968.6163881,7,"01"
"logE","A",2670629.55561162,7,"01"
"logR","A",501294.820473205,7,"01"
"logW","A",3545126.7034669,7,"01"
"logN","A",347509.616137201,7,"01"
"logM","C",4959348.42557785,7,"01"
"logE","C",4888974.92630261,7,"01"
"logR","C",539062.683478726,7,"01"
"logW","C",11545256.6307746,7,"01"
"logN","C",347509.616115891,7,"01"
"logE","GROUP",1761167.33556282,8,"01"
"logM","GROUP",3096354.7133431,8,"01"
"logN","GROUP",578707.013516651,8,"01"
"logR","GROUP",542844.078842512,8,"01"
"logW","GROUP",4868621.33946543,8,"01"
"logM","A",3876754.72704715,8,"01"
"logE","A",1023123.71834748,8,"01"
"logR","A",422248.902719037,8,"01"
"logW","A",3368580.65714998,8,"01"
"logN","A",578707.013542292,8,"01"
"logM","C",2366205.465459,8,"01"
"logE","C",2043157.66812431,8,"01"
"logR","C",702308.823730621,8,"01"
"logW","C",8938307.61303796,8,"01"
"logN","C",578707.013506809,8,"01"
"logE","GROUP",1752188.69595012,9,"01"
"logM","GROUP",379714.066135813,9,"01"
"logN","GROUP",1060233.30944637,9,"01"
"logR","GROUP",795573.186399219,9,"01"
