"name","mouse","value","time","box"
"logE","GROUP",8260287.63188257,0,"04"
"logM","GROUP",133.242175051121,0,"04"
"logN","GROUP",108043.18734071,0,"04"
"logR","GROUP",195184.427087417,0,"04"
"logW","GROUP",6636598.59272149,0,"04"
"logR","A",194785.920752266,0,"04"
"logE","A",8296255.82873271,0,"04"
"logM","A",210985.483812732,0,"04"
"logN","A",108043.187351209,0,"04"
"logW","A",4634273.47571941,0,"04"
"logR","B",170257.999176388,0,"04"
"logE","B",8052826.7538524,0,"04"
"logM","B",94219.8124940834,0,"04"
"logN","B",108043.187341258,0,"04"
"logW","B",3722278.97864127,0,"04"
"logR","C",223161.754644075,0,"04"
"logE","C",8578292.55156315,0,"04"
"logM","C",117118.850419957,0,"04"
"logN","C",108043.187335904,0,"04"
"logW","C",3304423.09415965,0,"04"
"logE","GROUP",8518504.48931742,1,"04"
"logM","GROUP",1507.16584873269,1,"04"
"logN","GROUP",128614.316346085,1,"04"
"logR","GROUP",738423.825040908,1,"04"
"logW","GROUP",7356004.55075135,1,"04"
"logR","A",753999.90432114,1,"04"
"logE","A",8206830.94293376,1,"04"
"logM","A",486374.733123808,1,"04"
"logN","A",128614.316358582,1,"04"
"logW","A",12587176.7539866,1,"04"
"logR","B",701016.497375147,1,"04"
"logE","B",8064695.23425413,1,"04"
"logM","B",239905.338391473,1,"04"
"logN","B",128614.316346737,1,"04"
"logW","B",6698267.48084974,1,"04"
"logR","C",761473.542612601,1,"04"
"logE","C",8606761.21882818,1,"04"
"logM","C",322116.797521872,1,"04"
"logN","C",128614.316340363,1,"04"
"logW","C",5139730.67369022,1,"04"
"logE","GROUP",8612101.25127438,2,"04"
"logM","GROUP",15254.805393592,2,"04"
"logN","GROUP",140821.53857402,2,"04"
"logR","GROUP",368928.016443226,2,"04"
"logW","GROUP",7917424.11160653,2,"04"
"logR","A",336823.519130071,2,"04"
"logE","A",8348196.6824771,2,"04"
"logM","A",467337.221114237,2,"04"
"logN","A",140821.538587703,2,"04"
"logW","A",15898675.2977087,2,"04"
"logR","B",346542.15232377,2,"04"
"logE","B",8385322.23379233,2,"04"
"logM","B",443169.357617256,2,"04"
"logN","B",140821.538574734,2,"04"
"logW","B",11104025.9687566,2,"04"
"logR","C",429058.647329915,2,"04"
"logE","C",8922045.41973121,2,"04"
"logM","C",736240.876801627,2,"04"
"logN","C",140821.538567756,2,"04"
"logW","C",9462144.8904478,2,"04"
"logE","GROUP",8377923.58416006,3,"04"
"logM","GROUP",114231.268457865,3,"04"
"logN","GROUP",150845.091541824,3,"04"
"logR","GROUP",375195.619106371,3,"04"
"logW","GROUP",7470636.08696263,3,"04"
"logR","A",357540.503822005,3,"04"
"logE","A",8096403.71970278,3,"04"
"logM","A",292809.050960961,3,"04"
"logN","A",150845.091556481,3,"04"
"logW","A",5202705.64795199,3,"04"
"logR","B",349681.429580859,3,"04"
"logE","B",8160427.68003311,3,"04"
"logM","B",486350.20706673,3,"04"
"logN","B",150845.091542589,3,"04"
"logW","B",5974146.36853897,3,"04"
"logR","C",421356.333270044,3,"04"
"logE","C",8512013.12592997,3,"04"
"logM","C",1034473.7893008,3,"04"
"logN","C",150845.091535114,3,"04"
"logW","C",17135986.6763481,3,"04"
"logE","GROUP",7769640.65964885,4,"04"
"logM","GROUP",515836.897688489,4,"04"
"logN","GROUP",175646.348367193,4,"04"
"logR","GROUP",352479.739952278,4,"04"
"logW","GROUP",6835940.11306591,4,"04"
"logR","A",386861.14030209,4,"04"
"logE","A",8044009.97952427,4,"04"
"logM","A",623393.944925289,4,"04"
"logN","A",175646.348384259,4,"04"
"logW","A",3252255.74569366,4,"04"
"logR","B",324350.431829195,4,"04"
"logE","B",7910580.3539765,4,"04"
"logM","B",939119.104985023,4,"04"
"logN","B",175646.348368083,4,"04"
"logW","B",7213131.53252112,4,"04"
"logR","C",348035.980775177,4,"04"
"logE","C",7819198.84173546,4,"04"
"logM","C",575533.635089071,4,"04"
"logN","C",175646.34835938,4,"04"
"logW","C",4524030.29294165,4,"04"
"logE","GROUP",6876655.34105205,5,"04"
"logM","GROUP",1207300.04649145,5,"04"
"logN","GROUP",219324.889529596,5,"04"
"logR","GROUP",361507.931763458,5,"04"
"logW","GROUP",6977981.3633786,5,"04"
"logR","A",438702.88685303,5,"04"
"logE","A",7676142.53319227,5,"04"
"logM","A",1632729.58044411,5,"04"
"logN","A",219324.889550904,5,"04"
"logW","A",5883007.54935389,5,"04"
"logR","B",291107.066563866,5,"04"
"logE","B",7185500.90234626,5,"04"
"logM","B",1476231.45566417,5,"04"
"logN","B",219324.889530707,5,"04"
"logW","B",4954060.77477068,5,"04"
"logR","C",368935.442541588,5,"04"
"logE","C",7469474.59889588,5,"04"
"logM","C",1275555.18995888,5,"04"
"logN","C",219324.88951984,5,"04"
"logW","C",5203692.69507992,5,"04"
"logE","GROUP",5849578.95453236,6,"04"
"logM","GROUP",1389881.01061404,6,"04"
"logN","GROUP",275736.917010887,6,"04"
"logR","GROUP",257141.364384837,6,"04"
"logW","GROUP",8635749.13468242,6,"04"
"logR","A",303243.065740853,6,"04"
"logE","A",6455481.24753201,6,"04"
"logM","A",2844758.59985522,6,"04"
"logN","A",275736.917037672,6,"04"
"logW","A",19885412.7533448,6,"04"
"logR","B",205117.188878887,6,"04"
"logE","B",5965323.42073556,6,"04"
"logM","B",2736545.24208518,6,"04"
"logN","B",275736.917012282,6,"04"
"logW","B",31005828.762718,6,"04"
"logR","C",272302.40721723,6,"04"
"logE","C",6473972.00403982,6,"04"
"logM","C",2404626.9906537,6,"04"
"logN","C",275736.916998621,6,"04"
"logW","C",14355866.4157191,6,"04"
"logE","GROUP",4830616.08481425,7,"04"
"logM","GROUP",867306.475725408,7,"04"
"logN","GROUP",332072.477289213,7,"04"
"logR","GROUP",308261.411109792,7,"04"
"logW","GROUP",7573064.12486105,7,"04"
"logR","A",322054.324875746,7,"04"
"logE","A",4258718.4106431,7,"04"
"logM","A",479722.433938514,7,"04"
"logN","A",332072.477321468,7,"04"
"logW","A",5960098.32853977,7,"04"
"logR","B",250199.237029132,7,"04"
"logE","B",3785450.10624978,7,"04"
"logM","B",56673.9485451802,7,"04"
"logN","B",332072.477290893,7,"04"
"logW","B",12157288.2659621,7,"04"
"logR","C",362337.494390775,7,"04"
"logE","C",4533283.07204102,7,"04"
"logM","C",943389.739547446,7,"04"
"logN","C",332072.47727444,7,"04"
"logW","C",10577686.3121755,7,"04"
"logE","GROUP",3927881.86520635,8,"04"
"logM","GROUP",381788.714979858,8,"04"
"logN","GROUP",525966.625289943,8,"04"
"logR","GROUP",530923.588625095,8,"04"
"logW","GROUP",6559543.85653182,8,"04"
"logR","A",568350.256025751,8,"04"
"logE","A",3839407.99782198,8,"04"
"logM","A",470513.596124782,8,"04"
