"name","mouse","value","time","box"
"logE","GROUP",8295407.63648734,0,"01"
"logM","GROUP",75.6723533120745,0,"01"
"logN","GROUP",1302714.67296918,0,"01"
"logR","GROUP",242195.875384933,0,"01"
"logW","GROUP",5799405.21360032,0,"01"
"logM","A",1212.98704125195,0,"01"
"logE","A",17071089.4389596,0,"01"
"logR","A",242195.875384793,0,"01"
"logW","A",1278959.84885264,0,"01"
"logN","A",1302714.67265646,0,"01"
"logM","C",586.045158332259,0,"01"
"logE","C",16520572.8703367,0,"01"
"logR","C",242195.875384805,0,"01"
"logW","C",702375.974293761,0,"01"
"logN","C",1302714.67330351,0,"01"
"logE","GROUP",8262171.34583328,1,"01"
"logM","GROUP",4550.64469361559,1,"01"
"logN","GROUP",1304363.17054545,1,"01"
"logR","GROUP",620717.877130075,1,"01"
"logW","GROUP",5813474.87750121,1,"01"
"logM","A",6802.39687159565,1,"01"
"logE","A",16057448.7688487,1,"01"
"logR","A",620717.877129717,1,"01"
"logW","A",1333182.60072513,1,"01"
"logN","A",1304363.17023235,1,"01"
"logM","C",3384.92693591463,1,"01"
"logE","C",15508956.8643438,1,"01"
"logR","C",620717.877129745,1,"01"
"logW","C",752356.176501592,1,"01"
"logN","C",1304363.17088021,1,"01"
"logE","GROUP",8087390.70006511,2,"01"
"logM","GROUP",16383.8211889762,2,"01"
"logN","GROUP",1314752.79017364,2,"01"
"logR","GROUP",451538.011082497,2,"01"
"logW","GROUP",5838750.35470932,2,"01"
"logM","A",37797.0469456034,2,"01"
"logE","A",15417675.7975282,2,"01"
"logR","A",451538.011082236,2,"01"
"logW","A",1233400.79936666,2,"01"
"logN","A",1314752.78985806,2,"01"
"logM","C",19397.1771081976,2,"01"
"logE","C",14873672.7731381,2,"01"
"logR","C",451538.011082257,2,"01"
"logW","C",987671.94715132,2,"01"
"logN","C",1314752.79051112,2,"01"
"logE","GROUP",8070362.40214359,3,"01"
"logM","GROUP",183450.970042488,3,"01"
"logN","GROUP",1358092.67879549,3,"01"
"logR","GROUP",530844.964157759,3,"01"
"logW","GROUP",5971002.09780641,3,"01"
"logM","A",209335.750622099,3,"01"
"logE","A",14573106.7676991,3,"01"
"logR","A",530844.964157452,3,"01"
"logW","A",1825340.96122564,3,"01"
"logN","A",1358092.67846953,3,"01"
"logM","C",108603.12815444,3,"01"
"logE","C",14047652.8625266,3,"01"
"logR","C",530844.964157476,3,"01"
"logW","C",1882951.86825164,3,"01"
"logN","C",1358092.6791442,3,"01"
"logE","GROUP",7390140.57118521,4,"01"
"logM","GROUP",1340477.34443275,4,"01"
"logN","GROUP",1429239.72073661,4,"01"
"logR","GROUP",690354.903729067,4,"01"
"logW","GROUP",6260835.61185835,4,"01"
"logM","A",1096298.66104977,4,"01"
"logE","A",13615365.0482634,4,"01"
"logR","A",690354.903728666,4,"01"
"logW","A",5019609.04749949,4,"01"
"logN","A",1429239.72039365,4,"01"
"logM","C",564003.272254657,4,"01"
"logE","C",13183228.840188,4,"01"
"logR","C",690354.903728699,4,"01"
"logW","C",6252327.2568126,4,"01"
"logN","C",1429239.72110373,4,"01"
"logE","GROUP",6727550.95260367,5,"01"
"logM","GROUP",5256119.03028946,5,"01"
"logN","GROUP",1507652.74533478,5,"01"
"logR","GROUP",731963.798836841,5,"01"
"logW","GROUP",6528493.88605129,5,"01"
"logM","A",4377386.52991382,5,"01"
"logE","A",11990752.4017167,5,"01"
"logR","A",731963.798836413,5,"01"
"logW","A",16489506.1742559,5,"01"
"logN","A",1507652.74497304,5,"01"
"logM","C",2068219.15650902,5,"01"
"logE","C",12017121.8316964,5,"01"
"logR","C",731963.79883645,5,"01"
"logW","C",13292637.4111512,5,"01"
"logN","C",1507652.74572212,5,"01"
"logE","GROUP",4465481.57512244,6,"01"
"logM","GROUP",36202029.9169334,6,"01"
"logN","GROUP",1598076.63561864,6,"01"
"logR","GROUP",496079.725486359,6,"01"
"logW","GROUP",6533353.20761934,6,"01"
"logM","A",5859834.19445266,6,"01"
"logE","A",8011363.32307995,6,"01"
"logR","A",496079.725486068,6,"01"
"logW","A",15996541.7124454,6,"01"
"logN","A",1598076.63523521,6,"01"
"logM","C",3892750.44272367,6,"01"
"logE","C",9631276.06138247,6,"01"
"logR","C",496079.725486092,6,"01"
"logW","C",13786504.9853933,6,"01"
"logN","C",1598076.63602925,6,"01"
"logE","GROUP",2629640.00524827,7,"01"
"logM","GROUP",5704105.46470798,7,"01"
"logN","GROUP",1707979.30967834,7,"01"
"logR","GROUP",520107.518870918,7,"01"
"logW","GROUP",6379388.27370486,7,"01"
"logM","A",3485537.85795552,7,"01"
"logE","A",3540809.30176035,7,"01"
"logR","A",520107.518870613,7,"01"
"logW","A",5506983.57556242,7,"01"
"logN","A",1707979.30926849,7,"01"
"logM","C",4605704.22042815,7,"01"
"logE","C",5889039.58113703,7,"01"
"logR","C",520107.518870637,7,"01"
"logW","C",12709236.4293922,7,"01"
"logN","C",1707979.31011719,7,"01"
"logE","GROUP",1761167.33556282,8,"01"
"logM","GROUP",3096354.7133431,8,"01"
"logN","GROUP",1853355.49153664,8,"01"
"logR","GROUP",552060.90922848,8,"01"
"logW","GROUP",6327262.03354753,8,"01"
"logM","A",2577018.2584297,8,"01"
"logE","A",1130311.8275363,8,"01"
"logR","A",552060.909228156,8,"01"
"logW","A",5595518.86542963,8,"01"
"logN","A",1853355.4910919,8,"01"
"logM","C",2255353.50559184,8,"01"
"logE","C",2393240.46315759,8,"01"
"logR","C",552060.909228181,8,"01"
"logW","C",8242809.98000332,8,"01"
"logN","C",1853355.49201285,8,"01"
"logE","GROUP",1752188.69595012,9,"01"
"logM","GROUP",379714.066135813,9,"01"
