"name","value","box"
"Beta",6.09,"02"
"lambdaM",1000,"02"
"lambdaE",1000,"02"
"sigmaR",0.75,"02"
"sigmaW",0.75,"02"
"sigmaN",0.75,"02"
"alphan",0.964719544476907,"02"
"sigman",0.0648864562251628,"02"
"alphar",0.000182958609489632,"02"
"sigmar",2.29405826075866,"02"
"alphaw",0.999999999999996,"02"
"sigmaw",5.63191885082421e-09,"02"
"sigmaRBC",3.37859821187172e-11,"02"
"sigmaRetic",3.59944180075289e-24,"02"
"sigmaPd",1.36813356629501,"02"
"Beta",5.76,"03"
"lambdaM",1000,"03"
"lambdaE",1000,"03"
"sigmaR",0.75,"03"
"sigmaW",0.75,"03"
"sigmaN",0.75,"03"
"alphan",0.964719544476907,"03"
"sigman",0.0648864562251628,"03"
"alphar",0.000182958609489632,"03"
"sigmar",2.29405826075866,"03"
"alphaw",0.999999999999996,"03"
"sigmaw",5.63191885082421e-09,"03"
"sigmaRBC",3.37859821187172e-11,"03"
"sigmaRetic",3.59944180075289e-24,"03"
"sigmaPd",1.36813356629501,"03"
"Beta",4.08,"04"
"lambdaM",1000,"04"
"lambdaE",1000,"04"
"sigmaR",0.75,"04"
"sigmaW",0.75,"04"
"sigmaN",0.75,"04"
"alphan",0.964719544476907,"04"
"sigman",0.0648864562251628,"04"
"alphar",0.000182958609489632,"04"
"sigmar",2.29405826075866,"04"
"alphaw",0.999999999999996,"04"
"sigmaw",5.63191885082421e-09,"04"
"sigmaRBC",3.37859821187172e-11,"04"
"sigmaRetic",3.59944180075289e-24,"04"
"sigmaPd",1.36813356629501,"04"
