"name","value","box"
"Beta",6.51,"01"
"lambdaM",1000,"01"
"lambdaE",1000,"01"
"sigmaR",0.75,"01"
"sigmaW",0.75,"01"
"sigmaN",0.75,"01"
"alphan",0.999999565138754,"01"
"sigman",1.36580815651406e-13,"01"
"alphar",0.00838155980232623,"01"
"sigmar",0.192934420756361,"01"
"alphaw",0.999979327954904,"01"
"sigmaw",0.787293644388717,"01"
"sigmaRBC",0.201079179796507,"01"
"sigmaRetic",4.80184976913332e-05,"01"
"sigmaPd",0.2,"01"
"Beta",6.09,"02"
"lambdaM",1000,"02"
"lambdaE",1000,"02"
"sigmaR",0.75,"02"
"sigmaW",0.75,"02"
"sigmaN",0.75,"02"
"alphan",0.999999565138754,"02"
"sigman",1.36580815651406e-13,"02"
"alphar",0.00838155980232623,"02"
"sigmar",0.192934420756361,"02"
"alphaw",0.999979327954904,"02"
"sigmaw",0.787293644388717,"02"
"sigmaRBC",0.201079179796507,"02"
"sigmaRetic",4.80184976913332e-05,"02"
"sigmaPd",0.2,"02"
"Beta",5.76,"03"
"lambdaM",1000,"03"
"lambdaE",1000,"03"
"sigmaR",0.75,"03"
"sigmaW",0.75,"03"
"sigmaN",0.75,"03"
"alphan",0.999999565138754,"03"
"sigman",1.36580815651406e-13,"03"
"alphar",0.00838155980232623,"03"
"sigmar",0.192934420756361,"03"
"alphaw",0.999979327954904,"03"
"sigmaw",0.787293644388717,"03"
"sigmaRBC",0.201079179796507,"03"
"sigmaRetic",4.80184976913332e-05,"03"
"sigmaPd",0.2,"03"
"Beta",4.08,"04"
"lambdaM",1000,"04"
"lambdaE",1000,"04"
"sigmaR",0.75,"04"
"sigmaW",0.75,"04"
"sigmaN",0.75,"04"
"alphan",0.999999565138754,"04"
"sigman",1.36580815651406e-13,"04"
"alphar",0.00838155980232623,"04"
"sigmar",0.192934420756361,"04"
"alphaw",0.999979327954904,"04"
"sigmaw",0.787293644388717,"04"
"sigmaRBC",0.201079179796507,"04"
"sigmaRetic",4.80184976913332e-05,"04"
"sigmaPd",0.2,"04"
"lambdaE",1000,"05"
"sigmaR",0.75,"05"
"sigmaN",0.75,"05"
"alphan",0.999999565138754,"05"
"sigman",1.36580815651406e-13,"05"
"alphar",0.00838155980232623,"05"
"sigmar",0.192934420756361,"05"
"sigmaRBC",0.201079179796507,"05"
"sigmaRetic",4.80184976913332e-05,"05"
