"name","value","box"
"Beta",6.09,"02"
"lambdaM",1000,"02"
"lambdaE",1000,"02"
"sigmaR",0.75,"02"
"sigmaW",0.75,"02"
"sigmaN",0.75,"02"
"alphan",0.962018543273429,"02"
"sigman",2.39900273860482e-11,"02"
"alphar",0.999999772466337,"02"
"sigmar",6.64045000555479e-15,"02"
"alphaw",4.16480125545951e-05,"02"
"sigmaw",33.1292567912711,"02"
"sigmaRBC",0.21061646812178,"02"
"sigmaRetic",0.722472746414362,"02"
"sigmaPd",0.301573405388525,"02"
"Beta",5.76,"03"
"lambdaM",1000,"03"
"lambdaE",1000,"03"
"sigmaR",0.75,"03"
"sigmaW",0.75,"03"
"sigmaN",0.75,"03"
"alphan",0.962018543273429,"03"
"sigman",2.39900273860482e-11,"03"
"alphar",0.999999772466337,"03"
"sigmar",6.64045000555479e-15,"03"
"alphaw",4.16480125545951e-05,"03"
"sigmaw",33.1292567912711,"03"
"sigmaRBC",0.21061646812178,"03"
"sigmaRetic",0.722472746414362,"03"
"sigmaPd",0.301573405388525,"03"
"Beta",4.08,"04"
"lambdaM",1000,"04"
"lambdaE",1000,"04"
"sigmaR",0.75,"04"
"sigmaW",0.75,"04"
"sigmaN",0.75,"04"
"alphan",0.962018543273429,"04"
"sigman",2.39900273860482e-11,"04"
"alphar",0.999999772466337,"04"
"sigmar",6.64045000555479e-15,"04"
"alphaw",4.16480125545951e-05,"04"
"sigmaw",33.1292567912711,"04"
"sigmaRBC",0.21061646812178,"04"
"sigmaRetic",0.722472746414362,"04"
"sigmaPd",0.301573405388525,"04"
"lambdaE",1000,"05"
"sigmaR",0.75,"05"
"alphar",0.999999772466337,"05"
"sigmar",6.64045000555479e-15,"05"
"sigmaRBC",0.21061646812178,"05"
"sigmaRetic",0.722472746414362,"05"
