"name","mouse","value","time"
"logE","GROUP",8152222.88124565,0
"logM","GROUP",1611.17403790525,0
"logN","GROUP",485935.641409409,0
"logR","GROUP",196206.437579526,0
"logW","GROUP",1357484.0127828,0
"logM","C",3359.75016780743,0
"logE","C",8249227.88176496,0
"logR","C",222538.706042447,0
"logW","C",1435672.93174437,0
"logN","C",485935.641406578,0
"logM","B",1252.00449067157,0
"logE","B",7743243.96638498,0
"logR","B",170979.961612106,0
"logW","B",1297148.71384439,0
"logN","B",485935.641422223,0
"logM","A",3057.23030553139,0
"logE","A",9646127.24705017,0
"logR","A",195021.161019471,0
"logW","A",1326533.32301009,0
"logN","A",485935.641391216,0
"logE","GROUP",8405154.97584006,1
"logM","GROUP",6140.9025630632,1
"logN","GROUP",502587.302057672,1
"logR","GROUP",737208.157099793,1
"logW","GROUP",1358911.80472546,1
"logM","C",10923.8226100707,1
"logE","C",7996457.27222583,1
"logR","C",766197.429316519,1
"logW","C",1437245.89648041,1
"logN","C",502587.302054743,1
"logM","B",4077.43732936761,1
"logE","B",7442318.15042429,1
"logR","B",697678.586474482,1
"logW","B",1298476.04965498,1
"logN","B",502587.302070924,1
"logM","A",10373.7969644151,1
"logE","A",9368633.75200083,1
"logR","A",749640.849802882,1
"logW","A",1327907.99741537,1
"logN","A",502587.302038856,1
"logE","GROUP",8420465.98787628,2
"logM","GROUP",22478.2209979851,2
"logN","GROUP",524039.170729134,2
"logR","GROUP",369923.954889268,2
"logW","GROUP",1449772.79482925,2
"logM","C",35703.7987928283,2
"logE","C",8261185.42042904,2
"logR","C",426802.08508127,2
"logW","C",1533857.25547003,2
"logN","C",524039.170726078,2
"logM","B",13331.5648445321,2
"logE","B",7645912.56366574,2
"logR","B",346556.888726344,2
"logW","B",1385340.51720472,2
"logN","B",524039.170742953,2
"logM","A",35304.2297089775,2
"logE","A",9623676.94916212,2
"logR","A",339087.029917764,2
"logW","A",1416718.93800414,2
"logN","A",524039.170709518,2
"logE","GROUP",8189802.46559893,3
"logM","GROUP",82915.2568495928,3
"logN","GROUP",559645.160542288,3
"logR","GROUP",375993.612089276,3
"logW","GROUP",1778673.88677505,3
"logM","C",114761.236675626,3
"logE","C",8141157.10675993,3
"logR","C",419746.096775245,3
"logW","C",1883518.37132285,3
"logN","C",559645.160539021,3
"logM","B",42805.1454378759,3
"logE","B",7468538.84293157,3
"logR","B",349376.45075133,3
"logW","B",1699948.31161874,3
"logN","B",559645.160557049,3
"logM","A",118353.670688195,3
"logE","A",9427690.2984154,3
"logR","A",359155.981270911,3
"logW","A",1738382.78520779,3
"logN","A",559645.160521341,3
"logE","GROUP",7839632.44529974,4
"logM","GROUP",298591.757877885,4
"logN","GROUP",613844.513433673,4
"logR","GROUP",353354.035363229,4
"logW","GROUP",2630381.71889215,4
"logM","C",349780.453413957,4
"logE","C",7906016.83410557,4
"logR","C",350137.563372177,4
"logW","C",2789924.539979,4
"logN","C",613844.513430087,4
"logM","B",130462.131178031,4
"logE","B",7233095.92521399,4
"logR","B",322970.289854991,4
"logW","B",2514721.68252983,4
"logN","B",613844.513449865,4
"logM","A",379628.993484647,4
"logE","A",9143707.11062138,4
"logR","A",386204.520599663,4
"logW","A",2572008.37902194,4
"logN","A",613844.513410701,4
"logE","GROUP",7616013.90507462,5
"logM","GROUP",1032059.02230682,5
"logN","GROUP",674889.706933467,5
"logR","GROUP",362287.819668293,5
"logW","GROUP",4964320.80438768,5
"logM","C",925618.091432772,5
"logE","C",7340849.494324,5
"logR","C",369248.873419098,5
"logW","C",5279580.07717888,5
"logN","C",674889.70692952,5
"logM","B",348787.405915218,5
"logE","B",6840856.4586902,5
"logR","B",292370.888052872,5
"logW","B",4746782.15482185,5
"logN","B",674889.706951272,5
"logM","A",1087302.10975142,5
"logE","A",8598145.55695289,5
"logR","A",436072.826486655,5
"logW","A",4859235.19506911,5
"logN","A",674889.706908213,5
"logE","GROUP",6447577.12364785,6
"logM","GROUP",2255500.61944036,6
"logN","GROUP",701528.318244359,6
"logR","GROUP",258173.112343397,6
"logW","GROUP",10025531.3277591,6
"logM","C",1644287.26507189,6
"logE","C",6258702.15224134,6
