"name","mouse","value","time","box"
"logE","GROUP",Inf,0,"02"
"logM","GROUP",Inf,0,"02"
"logN","GROUP",2108895.00778652,0,"02"
"logR","GROUP",305324.96553709,0,"02"
"logW","GROUP",273470131.914649,0,"02"
"logM","B",74593947.796785,0,"02"
"logE","B",698799301.188908,0,"02"
"logR","B",202931.856650289,0,"02"
"logW","B",611810420.866163,0,"02"
"logN","B",2109143.98579603,0,"02"
"logM","A",43369706.5567397,0,"02"
"logE","A",456817011.365852,0,"02"
"logR","A",443291.122840748,0,"02"
"logW","A",375344010.046087,0,"02"
"logN","A",2108744.62739394,0,"02"
"logE","GROUP",Inf,1,"02"
"logM","GROUP",1.99389009185823e-34,1,"02"
"logN","GROUP",1801686.89020461,1,"02"
"logR","GROUP",815599.838372553,1,"02"
"logW","GROUP",1043697266.88989,1,"02"
"logM","B",187233858.099749,1,"02"
"logE","B",932362158.419147,1,"02"
"logR","B",649999.124397381,1,"02"
"logW","B",2334971059.96698,1,"02"
"logN","B",1801488.28502552,1,"02"
"logM","A",114570114.398023,1,"02"
"logE","A",602221128.402778,1,"02"
"logR","A",1083332.73783497,1,"02"
"logW","A",1432498412.74224,1,"02"
"logN","A",1801158.19209363,1,"02"
"logE","GROUP",Inf,2,"02"
"logM","GROUP",Inf,2,"02"
"logN","GROUP",5977800.87296684,2,"02"
"logR","GROUP",451779.87411569,2,"02"
"logW","GROUP",1673811944.44636,2,"02"
"logM","B",98494800.7698523,2,"02"
"logE","B",1168257923.29129,2,"02"
"logR","B",331583.923948069,2,"02"
"logW","B",3744670293.27467,2,"02"
"logN","B",5980539.44313178,2,"02"
"logM","A",67717968.9929785,2,"02"
"logE","A",758053295.778926,2,"02"
"logR","A",595468.339618254,2,"02"
"logW","A",2297345363.83969,2,"02"
"logN","A",5977666.98544605,2,"02"
"logE","GROUP",0,3,"02"
"logM","GROUP",7.27060977420117e-13,3,"02"
"logN","GROUP",4585098.30949457,3,"02"
"logR","GROUP",627971.430366511,3,"02"
"logW","GROUP",861629675.617372,3,"02"
"logM","B",28256292.0892885,3,"02"
"logE","B",1462233674.3357,3,"02"
"logR","B",521526.561788728,3,"02"
"logW","B",1927647137.1598,3,"02"
"logN","B",4581253.04040906,3,"02"
"logM","A",22737866.7176778,3,"02"
"logE","A",958578124.856137,3,"02"
"logR","A",762660.351847078,3,"02"
"logW","A",1182606630.48804,3,"02"
"logN","A",4582592.68689176,3,"02"
"logE","GROUP",Inf,4,"02"
"logM","GROUP",Inf,4,"02"
"logN","GROUP",3062411.71245846,4,"02"
"logR","GROUP",686618.673412766,4,"02"
"logW","GROUP",1940043730.42477,4,"02"
"logM","B",56336350.0730532,4,"02"
"logE","B",2571527590.11297,4,"02"
"logR","B",654349.887502343,4,"02"
"logW","B",4340286195.78607,4,"02"
"logN","B",3061822.25412511,4,"02"
"logM","A",48610142.8068029,4,"02"
"logE","A",1688573595.7616,4,"02"
"logR","A",722215.299984035,4,"02"
"logW","A",2662755086.26627,4,"02"
"logN","A",3061180.46814984,4,"02"
"logE","GROUP",Inf,5,"02"
"logM","GROUP",6.70221715216014e+24,5,"02"
"logN","GROUP",15092262.4566017,5,"02"
"logR","GROUP",704588.493868112,5,"02"
"logW","GROUP",3683908421.67072,5,"02"
"logM","B",79501696.108101,5,"02"
"logE","B",5610644187.30105,5,"02"
"logR","B",640786.905018771,5,"02"
"logW","B",8241677495.90312,5,"02"
"logN","B",15073573.8629201,5,"02"
"logM","A",75876579.5144522,5,"02"
"logE","A",3643377577.71496,5,"02"
"logR","A",783375.866450522,5,"02"
"logW","A",5056250484.56512,5,"02"
"logN","A",15079415.3098724,5,"02"
"logE","GROUP",Inf,6,"02"
"logM","GROUP",Inf,6,"02"
"logN","GROUP",106252881.211286,6,"02"
"logR","GROUP",533239.633221998,6,"02"
"logW","GROUP",73641175126.4277,6,"02"
"logM","B",142921016.235554,6,"02"
"logE","B",16905345198.4255,6,"02"
"logR","B",499276.35840323,6,"02"
"logW","B",164750766328.619,6,"02"
"logN","B",106484607.900225,6,"02"
"logM","A",147289860.988579,6,"02"
"logE","A",10546266104.3011,6,"02"
"logR","A",567569.444122416,6,"02"
"logW","A",101074251353.511,6,"02"
"logN","A",106348630.222649,6,"02"
"logE","GROUP",0,7,"02"
"logM","GROUP",406229408971152,7,"02"
"logN","GROUP",24552036.583629,7,"02"
"logR","GROUP",443127.984543858,7,"02"
"logW","GROUP",7460033727.3734,7,"02"
"logM","B",65251.4713221679,7,"02"
"logE","B",9798678989.94356,7,"02"
"logR","B",373921.909821588,7,"02"
"logW","B",16689658485.6815,7,"02"
