"day","Retic","RBC","Pd","M","E","R","W","N","K","mouse","box","paba","sigmaRBCinit","sigmaReticinit","sigmaPdinit","lambdaM","lambdaE","sigmaR","sigmaW","sigmaN","fit","con","ID"
0,226025.088854096,8420000,NA,7.38131571380055,15.9333967817526,12.3286124399373,12.6007831707748,11.9757111789717,7.38122170047804,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
1,740663.591621737,9910000,4435.65,8.73492569341908,16.0106036211542,13.5161386226025,12.6014103447013,13.4234650047032,8.73460601310428,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
2,437366.95098501,9290000,15149.85,10.0445323560155,16.0001237756645,12.9884237632373,12.7024735157976,13.5628908236903,10.0432977211224,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
3,426269.483246719,8990000,102804.6,11.3383488409834,15.9597480658309,12.9627656025582,13.0627116780244,14.0679139765432,11.333666973893,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
4,341159.591663855,7790000,313878,12.5491504739879,15.8386452261983,12.7400070384526,13.6960486676121,12.5988272055347,12.5313715403261,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
5,368731.87188654,8200000,1445695.5,13.794080270303,15.8594658919324,12.8182321404736,15.0149073462316,13.4601276146747,13.7341956095573,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
6,270051.842454936,6730000,2828640,14.644656764941,15.6855859292099,12.5063717685363,16.4286578285547,13.0821481379256,14.4799325013067,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
7,367008.052063952,4890000,796452,13.7969863868593,15.3223879346241,12.8132759123238,16.598507543754,13.1485143552505,13.6980868484333,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
8,616366.274354374,4180000,119515.65,11.6865455909279,15.0918020349755,13.3315149812798,16.0469104914916,12.903628660207,11.6724158690208,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
9,1047551.10162627,4850000,47198.25,10.7664079056437,15.1444905791298,13.8630354902446,15.8856513396891,14.6101164239046,10.7615007356903,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
10,2674130.39948977,5690000,25697.85,10.0676049476804,14.9194593808385,14.7986913308716,15.9768061153091,15.597540772828,10.0655343791379,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
11,2584247.24015347,4570000,4856.55,8.90131696405639,14.5044086262089,14.7646732511191,14.9750791025175,14.6183336391359,8.90051471823696,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
12,2459634.84106744,5270000,13853.115,9.12573203406246,14.8464805419632,14.7154548922093,16.2779737979998,15.1308091798074,9.124859247895,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
13,1981161.74853117,4510000,1799.535,7.5940110376153,14.7637098141039,14.4988366910006,15.9972282033833,12.8292629966675,7.59379332552781,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
14,2602394.19512379,7140000,1142.8845,6.97664572442945,15.2981956267716,14.7774648738836,16.2480106736202,14.8947335041559,6.97656943761843,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
15,2093987.08490666,6670000,533.2185,6.34248096390044,15.339930927937,14.5541347541459,15.9152541421116,14.2814695836023,6.34243846915206,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
16,2131436.33447218,7420000,542.148,6.29020229626733,15.4798231303336,14.5725095127133,15.899559484484,14.4832353850098,6.29016592819989,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
17,1900075.20216393,7600000,579.69,6.35036814440863,15.555482716285,14.4572701824493,16.1082589004054,14.6441269577443,6.35033045193255,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
