"name","value","box"
"Beta",6.09,"02"
"lambdaM",1000,"02"
"lambdaE",1000,"02"
"sigmaR",0.75,"02"
"sigmaW",0.75,"02"
"sigmaN",0.75,"02"
"alphan",0.999994631355981,"02"
"sigman",9.96257080471705e-14,"02"
"alphar",0.999792408380814,"02"
"sigmar",0.0885069174352648,"02"
"alphaw",0.00357948439302229,"02"
"sigmaw",0.977014099385778,"02"
"sigmaRBC",0.134044189714477,"02"
"sigmaRetic",0.00408511104397505,"02"
"sigmaPd",0.283225508523146,"02"
"Beta",4.08,"04"
"lambdaM",1000,"04"
"lambdaE",1000,"04"
"sigmaR",0.75,"04"
"sigmaW",0.75,"04"
"sigmaN",0.75,"04"
"alphan",0.999994631355981,"04"
"sigman",9.96257080471705e-14,"04"
"alphar",0.999792408380814,"04"
"sigmar",0.0885069174352648,"04"
"alphaw",0.00357948439302229,"04"
"sigmaw",0.977014099385778,"04"
"sigmaRBC",0.134044189714477,"04"
"sigmaRetic",0.00408511104397505,"04"
"sigmaPd",0.283225508523146,"04"
"lambdaE",1000,"05"
"sigmaR",0.75,"05"
"sigmaN",0.75,"05"
"alphan",0.999994631355981,"05"
"sigman",9.96257080471705e-14,"05"
"alphar",0.999792408380814,"05"
"sigmar",0.0885069174352648,"05"
"sigmaRBC",0.134044189714477,"05"
"sigmaRetic",0.00408511104397505,"05"
