"name","mouse","value","time","box"
"logE","Group",8007487.13197641,0,"02"
"logM","Group",92.5572893815418,0,"02"
"logN","Group",653411.643153484,0,"02"
"logR","Group",300800.187458873,0,"02"
"logW","Group",5156404.93008724,0,"02"
"logR","A",437523.088154376,0,"02"
"logE","A",7317499.14718473,0,"02"
"logM","A",946.002764230872,0,"02"
"logN","A",653411.643155891,0,"02"
"logW","A",682200.911862545,0,"02"
"logR","B",205636.635059137,0,"02"
"logE","B",8859801.19676858,0,"02"
"logM","B",426.397642154723,0,"02"
"logN","B",653411.643177569,0,"02"
"logW","B",1094661.6641261,0,"02"
"logE","Group",8042945.56926931,1,"02"
"logM","Group",1044.4707885043,1,"02"
"logN","Group",647989.342619919,1,"02"
"logR","Group",840626.056565934,1,"02"
"logW","Group",5152208.72332681,1,"02"
"logR","A",1102284.55767694,1,"02"
"logE","A",7126869.12346111,1,"02"
"logM","A",4849.5672084967,1,"02"
"logN","A",647989.342622306,1,"02"
"logW","A",617917.443670062,1,"02"
"logR","B",638592.89676922,1,"02"
"logE","B",8435271.1637158,1,"02"
"logM","B",2141.36032903218,1,"02"
"logN","B",647989.342643806,1,"02"
"logW","B",1012082.54385004,1,"02"
"logE","Group",8077100.39008384,2,"02"
"logM","Group",12111.6316805336,2,"02"
"logN","Group",640225.867055664,2,"02"
"logR","Group",445323.618298126,2,"02"
"logW","Group",5214726.40716227,2,"02"
"logR","A",587764.31282547,2,"02"
"logE","A",7597257.34030619,2,"02"
"logM","A",25316.0451989245,2,"02"
"logN","A",640225.867058023,2,"02"
"logW","A",693397.24718385,2,"02"
"logR","B",335930.783981518,2,"02"
"logE","B",8448863.89583523,2,"02"
"logM","B",10860.1407448351,2,"02"
"logN","B",640225.867079267,2,"02"
"logW","B",1133132.48360097,2,"02"
"logE","Group",7972750.22798572,3,"02"
"logM","Group",125133.005995652,3,"02"
"logN","Group",642868.404860877,3,"02"
"logR","Group",631802.668268944,3,"02"
"logW","Group",5428455.16197926,3,"02"
"logR","A",760541.774640378,3,"02"
"logE","A",7544444.98964741,3,"02"
"logM","A",130796.76161271,3,"02"
"logN","A",642868.404863245,3,"02"
"logW","A",1262367.32942178,3,"02"
"logR","B",522925.506149759,3,"02"
"logE","B",8158519.06645275,3,"02"
"logM","B",54017.4589593057,3,"02"
"logN","B",642868.40488458,3,"02"
"logW","B",1936803.53049307,3,"02"
"logE","Group",7455353.26241542,4,"02"
"logM","Group",929516.780398204,4,"02"
"logN","Group",655350.22574883,4,"02"
"logR","Group",688529.307823504,4,"02"
"logW","Group",5710947.62177441,4,"02"
"logR","A",737290.150317045,4,"02"
"logE","A",7564234.4972125,4,"02"
"logM","A",628309.226483924,4,"02"
"logN","A",655350.225751246,4,"02"
"logW","A",3172504.24086154,4,"02"
"logR","B",640899.365312272,4,"02"
"logE","B",8014258.37528307,4,"02"
"logM","B",243644.873566397,4,"02"
"logN","B",655350.225772998,4,"02"
"logW","B",3353075.42803949,4,"02"
"logE","Group",6336191.57876407,5,"02"
"logM","Group",3786905.38378597,5,"02"
"logN","Group",690089.770741624,5,"02"
"logR","Group",709594.184836788,5,"02"
"logW","Group",5979754.55964235,5,"02"
"logR","A",778680.397766341,5,"02"
"logE","A",7108397.75661755,5,"02"
"logM","A",2323525.73287697,5,"02"
"logN","A",690089.77074417,5,"02"
"logW","A",8144648.08491285,5,"02"
"logR","B",644600.517290735,5,"02"
"logE","B",7806136.33539934,5,"02"
"logM","B",920816.711953197,5,"02"
"logN","B",690089.770767078,5,"02"
"logW","B",6033206.92184582,5,"02"
"logE","Group",4798804.63599365,6,"02"
"logM","Group",6394989.94010478,6,"02"
"logN","Group",748798.242278697,6,"02"
"logR","Group",533285.864462397,6,"02"
"logW","Group",6253163.36116079,6,"02"
"logR","A",575020.584137821,6,"02"
"logE","A",5382651.67244181,6,"02"
"logM","A",3998181.59975997,6,"02"
"logN","A",748798.242281463,6,"02"
"logW","A",9694144.84183027,6,"02"
"logR","B",492813.174457126,6,"02"
"logE","B",6986047.35324652,6,"02"
"logM","B",2397886.33841597,6,"02"
"logN","B",748798.242306319,6,"02"
"logW","B",12078412.6257518,6,"02"
"logE","Group",3314918.94527464,7,"02"
"logM","Group",3830062.4858488,7,"02"
"logN","Group",834858.793488274,7,"02"
"logR","Group",440851.198920434,7,"02"
"logW","Group",6371136.22227997,7,"02"
"logR","A",509294.677534098,7,"02"
"logE","A",2685846.54248529,7,"02"
"logM","A",3072064.05550096,7,"02"
"logN","A",834858.79349136,7,"02"
"logW","A",8820792.1590119,7,"02"
"logR","B",380220.750933678,7,"02"
"logE","B",4911543.92590442,7,"02"
"logM","B",2248587.08703188,7,"02"
"logN","B",834858.793519073,7,"02"
"logW","B",15607590.0137907,7,"02"
"logE","Group",2234156.38376593,8,"02"
"logM","Group",935421.927887788,8,"02"
"logN","Group",1006541.99314774,8,"02"
"logR","Group",539523.234583377,8,"02"
"logW","Group",6287497.11023611,8,"02"
"logR","A",592437.594754969,8,"02"
"logE","A",941208.974850157,8,"02"
"logM","A",585646.335560612,8,"02"
"logN","A",1006541.99315146,8,"02"
"logW","A",5069703.53649572,8,"02"
"logR","B",490065.146417701,8,"02"
"logE","B",2955065.33976968,8,"02"
"logM","B",498904.097227758,8,"02"
"logN","B",1006541.99318487,8,"02"
"logW","B",9980956.9352003,8,"02"
"logE","Group",1607457.07825351,9,"02"
"logM","Group",157401.157929022,9,"02"
"logN","Group",1476038.97330005,9,"02"
"logR","Group",857403.683501364,9,"02"
"logW","Group",6314227.14723119,9,"02"
"logR","A",887237.116647044,9,"02"
"logE","A",542841.115502772,9,"02"
"logM","A",56404.3480549934,9,"02"
"logN","A",1476038.97330552,9,"02"
"logW","A",4046507.20511804,9,"02"
"logR","B",827716.399157218,9,"02"
"logE","B",2226602.03393406,9,"02"
"logM","B",116530.331079157,9,"02"
"logN","B",1476038.9733545,9,"02"
"logW","B",7175924.26992265,9,"02"
"logE","Group",1336624.3332193,10,"02"
"logM","Group",37480.9669960635,10,"02"
"logN","Group",2483356.04259926,10,"02"
"logR","Group",2103621.46452523,10,"02"
"logW","Group",6396567.54751604,10,"02"
"logR","A",2196031.27983656,10,"02"
"logE","A",489088.262718742,10,"02"
"logM","A",7080.51156777591,10,"02"
"logN","A",2483356.04260848,10,"02"
"logW","A",5240317.96940408,10,"02"
"logR","B",2019835.74467662,10,"02"
"logE","B",1814995.34713804,10,"02"
"logM","B",41011.7893260467,10,"02"
"logN","B",2483356.04269089,10,"02"
"logW","B",5106612.15916791,10,"02"
"logE","Group",1337151.01815859,11,"02"
"logM","Group",19930.1078925031,11,"02"
"logN","Group",3819583.00424596,11,"02"
"logR","Group",3601055.72078306,11,"02"
"logW","Group",6319199.46983667,11,"02"
"logR","A",3516389.94823005,11,"02"
"logE","A",1063972.97779527,11,"02"
"logM","A",2430.22966656638,11,"02"
"logN","A",3819583.00426014,11,"02"
"logW","A",1784345.25713369,11,"02"
"logR","B",3702584.44359282,11,"02"
"logE","B",1984925.96369685,11,"02"
"logM","B",34284.4138325814,11,"02"
"logN","B",3819583.00438689,11,"02"
"logW","B",4164549.99722226,11,"02"
"logE","Group",1591143.41271737,12,"02"
"logM","Group",22931.2374432767,12,"02"
"logN","Group",4489868.95070421,12,"02"
"logR","Group",4172050.80134578,12,"02"
"logW","Group",6542527.90488256,12,"02"
"logR","A",4270600.68972726,12,"02"
"logE","A",1975402.9434414,12,"02"
"logM","A",4343.01126580754,12,"02"
"logN","A",4489868.95072087,12,"02"
"logW","A",2874749.23755442,12,"02"
"logR","B",4095816.64756837,12,"02"
"logE","B",2904912.7675851,12,"02"
"logM","B",51256.2654301624,12,"02"
"logN","B",4489868.95086988,12,"02"
"logW","B",5648723.01364835,12,"02"
"logE","Group",2126439.47288105,13,"02"
"logM","Group",37364.8059086041,13,"02"
"logN","Group",3803991.99076622,13,"02"
"logR","Group",3334745.63769705,13,"02"
"logW","Group",6759663.23699031,13,"02"
"logR","A",3670213.27679523,13,"02"
"logE","A",3031668.50897931,13,"02"
"logM","A",8119.32926930128,13,"02"
"logN","A",3803991.99078033,13,"02"
"logW","A",2745689.17798556,13,"02"
"logR","B",3044653.43031194,13,"02"
"logE","B",3670168.70100851,13,"02"
"logM","B",73188.4256131123,13,"02"
"logN","B",3803991.99090657,13,"02"
"logW","B",10158200.914949,13,"02"
"logE","Group",2934794.9176984,14,"02"
"logM","Group",51416.2120192383,14,"02"
"logN","Group",3340379.98136548,14,"02"
"logR","Group",3758292.47518738,14,"02"
"logW","Group",6984668.00109456,14,"02"
"logR","A",4441733.05158418,14,"02"
"logE","A",3789953.1809655,14,"02"
"logM","A",18586.4847123572,14,"02"
"logN","A",3340379.98137787,14,"02"
"logW","A",5006765.42117132,14,"02"
"logR","B",3194750.0183447,14,"02"
"logE","B",3773065.88260112,14,"02"
"logM","B",55461.6884272836,14,"02"
"logN","B",3340379.98148873,14,"02"
"logW","B",11109282.4009419,14,"02"
"logE","Group",3855067.34019484,15,"02"
"logM","Group",51895.8511724553,15,"02"
"logN","Group",2678473.34687183,15,"02"
"logR","Group",2497349.38518418,15,"02"
"logW","Group",7288096.03725253,15,"02"
"logR","A",2757062.30249594,15,"02"
"logE","A",5477505.10200883,15,"02"
"logM","A",41076.3521763559,15,"02"
"logN","A",2678473.34688176,15,"02"
"logW","A",8181954.95737593,15,"02"
"logR","B",2270791.32053542,15,"02"
"logE","B",4278222.2729447,15,"02"
"logM","B",42211.0908425842,15,"02"
"logN","B",2678473.34697065,15,"02"
"logW","B",18919128.8382399,15,"02"
"logE","Group",4579809.82543085,16,"02"
"logM","Group",32891.4524316957,16,"02"
"logN","Group",2211311.80770338,16,"02"
"logR","Group",1982609.53293909,16,"02"
"logW","Group",7556275.91568509,16,"02"
"logR","A",2308206.12680336,16,"02"
"logE","A",5900133.99982403,16,"02"
"logM","A",66718.9107116298,16,"02"
"logN","A",2211311.80771157,16,"02"
"logW","A",13382795.0006753,16,"02"
"logR","B",1707373.12026412,16,"02"
"logE","B",4335545.33055241,16,"02"
"logM","B",9483.1650375021,16,"02"
"logN","B",2211311.80778496,16,"02"
"logW","B",22005918.130365,16,"02"
"logE","Group",4884892.55165539,17,"02"
"logM","Group",8499.39454698024,17,"02"
"logN","Group",1922651.17054978,17,"02"
"logR","Group",1822605.85077346,17,"02"
"logW","Group",7813261.63080642,17,"02"
"logR","A",2247276.96640067,17,"02"
"logE","A",6206732.95804332,17,"02"
"logM","A",60537.4260873016,17,"02"
"logN","A",1922651.1705569,17,"02"
"logW","A",37696130.4641277,17,"02"
"logR","B",1480787.11926769,17,"02"
"logE","B",4189857.55331148,17,"02"
"logM","B",1049.32087658715,17,"02"
"logN","B",1922651.17062071,17,"02"
"logW","B",21360003.0081505,17,"02"
"logE","Group",4816832.32448262,18,"02"
"logM","Group",1138.65524940972,18,"02"
"logN","Group",1745955.23343163,18,"02"
"logR","Group",1074587.31518145,18,"02"
"logW","Group",7876329.67839778,18,"02"
"logR","A",1213798.0316252,18,"02"
"logE","A",6678747.78066638,18,"02"
"logM","A",3396.60434735285,18,"02"
"logN","A",1745955.23343808,18,"02"
"logW","A",43592028.4480033,18,"02"
"logR","B",952020.438227168,18,"02"
"logE","B",4043919.43913107,18,"02"
"logM","B",105.334819730311,18,"02"
"logN","B",1745955.23349602,18,"02"
"logW","B",14142811.0180278,18,"02"
"logE","Group",4607040.25664896,19,"02"
"logM","Group",160.347719503443,19,"02"
"logN","Group",1720325.42238278,19,"02"
"logR","Group",1307855.89585515,19,"02"
"logW","Group",7786004.33647401,19,"02"
"logR","A",1464796.35827385,19,"02"
"logE","A",6306837.64831266,19,"02"
