"name","mouse","value","time","box"
"logE","Group",8295407.63648734,0,"01"
"logM","Group",75.6723533120745,0,"01"
"logN","Group",82369.6347616425,0,"01"
"logR","Group",237052.278075311,0,"01"
"logW","Group",3637652.2786304,0,"01"
"logM","A",2088.2682743251,0,"01"
"logE","A",9269722.62595305,0,"01"
"logR","A",224347.300368354,0,"01"
"logW","A",5134689.15669567,0,"01"
"logN","A",82369.6347625073,0,"01"
"logM","C",441.908570332801,0,"01"
"logE","C",8211968.79494705,0,"01"
"logR","C",249130.624783264,0,"01"
"logW","C",53540.162508905,0,"01"
"logN","C",82369.634761717,0,"01"
"logE","Group",8262171.34583328,1,"01"
"logM","Group",4550.64469361559,1,"01"
"logN","Group",82577.0718056216,1,"01"
"logR","Group",641580.594235083,1,"01"
"logW","Group",3638727.22140114,1,"01"
"logM","A",7846.38046344415,1,"01"
"logE","A",9412370.67630475,1,"01"
"logR","A",591597.697087026,1,"01"
"logW","A",5185768.77111049,1,"01"
"logN","A",82577.0718064886,1,"01"
"logM","C",2831.10385861364,1,"01"
"logE","C",8378640.39154965,1,"01"
"logR","C",694725.458992536,1,"01"
"logW","C",52341.2140713683,1,"01"
"logN","C",82577.0718056965,1,"01"
"logE","Group",8087390.70006511,2,"01"
"logM","Group",16383.8211889762,2,"01"
"logN","Group",85693.638020819,2,"01"
"logR","Group",446552.999823117,2,"01"
"logW","Group",3205246.35674337,2,"01"
"logM","A",30151.7694479678,2,"01"
"logE","A",9919646.72112475,2,"01"
"logR","A",448020.027968319,2,"01"
"logW","A",151512.262819851,2,"01"
"logN","A",85693.6380217186,2,"01"
"logM","C",18212.7795606318,2,"01"
"logE","C",8988898.99826001,2,"01"
"logR","C",443971.329114085,2,"01"
"logW","C",72561.0100670336,2,"01"
"logN","C",85693.6380208966,2,"01"
"logE","Group",8070362.40214359,3,"01"
"logM","Group",183450.970042488,3,"01"
"logN","Group",101779.375356369,3,"01"
"logR","Group",529981.760616201,3,"01"
"logW","Group",3409427.05673056,3,"01"
"logM","A",193295.229125106,3,"01"
"logE","A",10263075.1852736,3,"01"
"logR","A",607104.172545673,3,"01"
"logW","A",188894.716165104,3,"01"
"logN","A",101779.375357437,3,"01"
"logM","C",116942.904100569,3,"01"
"logE","C",9327937.28620939,3,"01"
"logR","C",461763.695572468,3,"01"
"logW","C",270376.471243192,3,"01"
"logN","C",101779.375356461,3,"01"
"logE","Group",7390140.57118521,4,"01"
"logM","Group",1340477.34443275,4,"01"
"logN","Group",133888.361266823,4,"01"
"logR","Group",694265.777650713,4,"01"
"logW","Group",4357731.72430706,4,"01"
"logM","A",1220953.28891379,4,"01"
"logE","A",10595113.3343575,4,"01"
"logR","A",886688.001831167,4,"01"
"logW","A",3483443.59970415,4,"01"
"logN","A",133888.361268229,4,"01"
"logM","C",730382.330536111,4,"01"
"logE","C",9571687.22751925,4,"01"
"logR","C",543175.976404999,4,"01"
"logW","C",7749256.67320356,4,"01"
"logN","C",133888.361266944,4,"01"
"logE","Group",6727550.95260367,5,"01"
"logM","Group",5256119.03028946,5,"01"
"logN","Group",180146.683239503,5,"01"
"logR","Group",740663.215773425,5,"01"
"logW","Group",4704518.57606866,5,"01"
"logM","A",5502987.18503853,5,"01"
"logE","A",10227029.346603,5,"01"
"logR","A",867480.210590867,5,"01"
"logW","A",16265341.6240237,5,"01"
"logN","A",180146.683241395,5,"01"
"logM","C",2103478.3045657,5,"01"
"logE","C",9285306.07264468,5,"01"
"logR","C",631965.578080125,5,"01"
"logW","C",10986322.5409178,5,"01"
"logN","C",180146.683239665,5,"01"
"logE","Group",4465481.57512244,6,"01"
"logM","Group",36202029.9169334,6,"01"
"logN","Group",251916.29013565,6,"01"
"logR","Group",491091.515488424,6,"01"
"logW","Group",4674844.11788376,6,"01"
"logM","A",6416961.85985147,6,"01"
"logE","A",6661539.849737,6,"01"
"logR","A",446274.837554033,6,"01"
"logW","A",14624228.3024125,6,"01"
"logN","A",251916.290138295,6,"01"
"logM","C",4000508.06230986,6,"01"
"logE","C",7877944.8699449,6,"01"
"logR","C",539131.852365316,6,"01"
"logW","C",11233734.9505917,6,"01"
"logN","C",251916.290135876,6,"01"
"logE","Group",2629640.00524827,7,"01"
"logM","Group",5704105.46470798,7,"01"
"logN","Group",373422.908894191,7,"01"
"logR","Group",520430.199383639,7,"01"
"logW","Group",4396637.08576467,7,"01"
"logM","A",3388365.92377653,7,"01"
"logE","A",2781733.7117826,7,"01"
"logR","A",494995.752936939,7,"01"
"logW","A",2625597.22056861,7,"01"
"logN","A",373422.908898112,7,"01"
"logM","C",5299666.83810878,7,"01"
"logE","C",5084508.05632231,7,"01"
"logR","C",545874.232106396,7,"01"
"logW","C",12045345.8901636,7,"01"
"logN","C",373422.908894524,7,"01"
"logE","Group",1761167.33556282,8,"01"
"logM","Group",3096354.7133431,8,"01"
"logN","Group",627433.0706469,8,"01"
"logR","Group",545214.852045542,8,"01"
"logW","Group",4339758.9541655,8,"01"
"logM","A",5511525.85069834,8,"01"
"logE","A",1042201.10482876,8,"01"
"logR","A",425745.357537549,8,"01"
"logW","A",2630378.65024379,8,"01"
"logN","A",627433.070653487,8,"01"
"logM","C",2458815.81834022,8,"01"
"logE","C",2054114.26142885,8,"01"
"logR","C",696215.407166163,8,"01"
"logW","C",8982057.47397008,8,"01"
"logN","C",627433.070647457,8,"01"
"logE","Group",1752188.69595012,9,"01"
"logM","Group",379714.066135813,9,"01"
"logN","Group",1135600.30945649,9,"01"
"logR","Group",768212.212315934,9,"01"
"logW","Group",4266664.88377371,9,"01"
"logM","A",NA,9,"01"
"logE","A",NA,9,"01"
"logR","A",NA,9,"01"
"logW","A",NA,9,"01"
